Question,A,B,C,D,Explanation,Answer
Which of the following features indicates the presence of heart disease in pregnancy and which is not seen in normal pregnancy?,Exertional dyspnea,Distended neck veins,Systemic hypotension,Pedal edema,"Ans. is b, i.e. Distended neck veinsRef. Williams Obs. 22/e, p 1019, 23/e, p 960, Dutta Obs. 7/e, p 275Many of the physiological adaptations of normal pregnancy and physical findings resemble heart disease symptoms and signs, making the diagnosis of heart disease more difficult.For example, in normal pregnancy, functional systolic heart murmurs are quite common; respiratory efforts is accentuated, at times suggesting dyspnea and edema in the lower extremities usually develops after midpregnancy.It is important not to diagnose heart disease during pregnancy when none exists, and at the same time not to fail to detect and appropriately treat heart disease when it dose exist.Clinical indicators of Heart disease during Pregnancy: Metcalfes criteria for Heart disease in pregnancySymptomsClinical findings* Progressive dyspnea or orthopnea* Nocturnal cough* Hemoptysis* Syncope with exertion* Chest pain related to effort or emotion* Symptoms of pulmonary hypertension* Cyanosis* Clubbing of fingers* Persistent neck vein distension* Systolic murmur greater than grade 3* Diastolic murmur* Cardiomegaly* Persistent arrhythmia* Persistently split second sound* Criteria for pulmonary hypertensionNote: In question 3 - exertional dyspnea, and pedal edema are seen normally during pregnancy and do not indicate heart disease. During pregnancy due to relaxation of the smooth muscles of the arteries by the progesterone, blood pressure decreases (Ref. Dutta 7/e, p 53) i.e. systemic hypotension normally occurs during pregnancy.Distended neck veins are suggestive of heart disease in pregnancy and are not a normal physiological condition.",B
Indicators of impending uterine rupture during labour include all of the following except:,Fetal distress,Hematuria,Fresh bleeding per vaginum,Passage of meconium,Signs and symptoms of impending uterine rupture: 1. Non - reassuring FHR- Most common/ most consistent sign - first finding- fetal tachycardia - most common finding - fetal bradycardia 2. Maternal tachycardia 3. Scar tenderness 4. Uterine tenderness and hematuria are other signs,D
"A preterm infant is now 7 weeks old. She was intubated for 2 weeks and was weaned off oxygen at 3 weeks of age. You are about to leave your office for the Thanksgiving holiday when the emergency room calls to tell you she has recent onset of hypoxia, respiratory distress, wheezes, and runny nose. A chest radiograph reveals patchy infiltrates and hyper-expansion in both lung fields. The newborn's 2-year-old sibling has an upper respiratory infection. For the mentioned clinical scenario, select the most likely diagnosis",Bronchopulmonary dysplasia,Respiratory distress syndrome (hyaline membrane disease ),Pulmonary interstitial emphysema,Bronchiolitis,"Bronchiolitis is a very common viral infection most often caused by respiratory syncytial virus. It is most often seen in the winter months with symptoms of wheezing, hypoxia, and respiratory distress seen in younger children; often an older sibling has milder, upper respiratory symptoms. Premature infants, infants with congenital heart disease, infants with a variety of lung disorders, and infants with immune system defects are at higher risk of severe complications. Diagnosis is made by clinical history and/or detection of the viral antigen in nasal secretions; treatment is supportive.",D
"A new born with recurrent vomiting, cynosis after each feed is likely to be suffering from",Tracho oesophageal fistula,Tetrology of fallot,Congenital hyperophic pyloric stenosis,ARDS,"Clinical features : The presence of maternal polyhyramnios and single umbilical aery should ale the pediatrician to look for atresia of the upper GIT.Association of congenital anomalies of veebrae, anorectal region,hea,kidneys or limbs should arouse suspicion.The newborn baby has excessive drooling ,saliva is frothy and there is choking and cyanosis with first feed.Overflow of milk and saliva from oesophagus, and regurgitation of secretions through the fistulous tract into the lungs is present. Ref : ESSENTIAL PEDIATRICS,O.P.GHAI,PG NO:151,7th edition",A
A child suffered from viral illness for which he was given aspirin. Three days later the child was brought to the emergency with altered sensorium and icterus. What is the underlying biochemical defect?,Beta-oxidation of fatty acids,Glucose-6-phosphatase deficiency,Pyruvate dehydrogenase deficiency,Urea cycle defect,"Ans. a. Beta-oxidation of fatty acids A child suffered from viral illness for which he was given aspirin. Three days later the child was brought to the emergency with altered sensorium and icterus. Clinical picture mentioned in the question is highly suggestive of Reye's syndrome. Drugs (salicylates), toxins (aflatoxins), viral infections (varicella, influenza) and ceain inborn errors of metabolism (single enzyme defects of beta-oxidation) can precipitate Reye's syndrome 'Reye's syndrome: It is an acute self limiting metabolic insult of diverse etiology resulting in generalized mitochondrial dysfunction. Drugs (salicylates), toxins (aflatoxins), viral infections (varicella, influenza) and ceain inborn errors of metabolism (single enzyme defects of beta-oxidation) can precipitate Reye syndrome. Neuroglucopenia and hyperammonemia result from mitochondrial and sodium pump failure. Encephalopathy is secondary to the liver damage.'- Reye's Syndrome (Fatty Liver with Encephalopathy) is an acute self-limiting metabolic insult of diverse etiology resulting in generalized mitochondrial dysfunctiondeg. Acute illness, encountered exclusively in children < 15 yearsdeg Onset usually follows an upper respiratory tract infection, especially influenza or chickenpox Drugs (salicylates), toxins (aflatoxins), viral infections (varicella, influenza) and ceain inborn errors of metabolism (single enzyme defects of beta-oxidation) can precipitate Reye syndromedeg. Histopathology: Morphologically, extensive vacuolization of the liver and renal tubulesdeg. Mitochondria! dysfunction with decreased activity of hepatic mitochondrial enzymes with structural alterations of mitochondria in liver, brain and muscledeg In fatal cases, the liver is enlarged and yellowdeg with striking diffuse fatty microvacuolization of cells Extensive accumulation of fat droplets within hepatocytes (microvesicular steatosis) Major extra-hepatic changes are fatty changes of the renal tubular cells, cerebral edema and neuronal degeneration of the braindeg Clinical Features: Characterized clinically by: VomitingQ, signs of progressive CNS damageQ, signs of hepatic injuryQhypoglycemiaQ A mild prodromal illness is followed by acute onset of the disease. Seizures occur in more than 80% patients. There are few focal neurological or meningeal signs. The liver is enlarged, but jaundice is characteristically absent or minimalQ Clinical Features are described in Four Stages Stage I Vomiting, anorexia, mild confusion, listlessness, apathy Stage II Delirium, restlessness, irritability, lack of orientation, frightened,agitated states Stage Ill Coma, decoicate posture which later becomes decrebrate Stage IV Flaccidity, areflexia, apnea, dilated pupils not reacting to light,severe hypotension. Laboratory Findings in Reye's Syndrome Raised aminotranferases and PTQ Metabolic acidosisQ HypoglycemiaQ Elevated serum ammonia levelQ Treatment: Infusion of 20% glucose and fresh frozen plasmaQ I.V. mannitol to reduce cerebral edemaQ Prognosis: Moality rate: Approx. 50%Q",A
Birth weight of newborn baby doubles by?,4 months,5 months,6 months,7 months,"Birth weight doubles by 5 months, tripless by 1 year, quadraples by 2 years.",B
Which of the following curves denotes lymphoid growth curve?,A,B,C,D,Ans. A. A.Graph shown above as A. denotes lymphoid growth as in the curve A. maximum growth occurs starting from around 4-5 years of age till about 8 years and then growth declines.,A
Which of the following is not true for endodermal sinus tumor,It is the third most common malignant germ cell tumor of the ovary,Schiller- Duval body is the characteristic histological feature,It produces hCG which is an useful tumor marker,Surgical staging and unilateral salpingooophorectomy is generally the treatment of choice,"The endodermal sinus tumor (yolk sac tumor) mostly observed between 15-20 yrs of age derived from the primitive yolk sac third most frequent malignant germ cell tumors of the ovary( After Dysgerminoma, Immature teratoma) Abdominal or pelvic pain is the most frequent initial symptom, occurring in about 75% of patients, characteristic histological feature is presence of cystic spaces lined by flattened epithelium, within this space; a tuft of vascular tissue is often seen. This is ca1led as Schiller - Duval body. Surgical staging and unlateral salpingo-oopherectomy in generally the treatment of choice. tumor produces alpha feto protein which is an useful marker to monitor regression and detect recurrence.",C
Rapid antigen test for meningitis organisms in a child can be done on the following specimens EXCEPT–,Blood,CSF,Urine,Throat swab,"All books have mentioned CSF as a specimen for the detection of antigen.
No book has mentioned urine or blood.
But, amongst the given options, best answer is throat swab because other three are body fluids in which antigens can be detected.",D
The MOST common cause of vaginal bleeding in a neonate is:,Sarcoma botryoides,Bih trauma,Bleeding disorder,Hormone withdrawal,"Neonatal vaginal bleeding is caused by maternal hormone exposure during pregnancy. These maternal hormones are abruptly withdrawn at the time of bih. It is entirely normal and presents soon after bih as a 'mini period' in females. It will resolve, usually lasting less than a day, and is painless. Ref: A Practical Guide to Pediatric Emergency Medicine: Caring for Children in ... edited by N. Ewen Amieva-Wang, 2011, Page 333 ; Shaw, 13th ed, Page 48",D
Which of the following about bronze baby syndrome is not true,Phototherapy responsible,Spontaneous resolution,Covers the trunk and extremities,Perform exchange transfusion,"Bronze baby syndrome is a rare complication seen in neonates with hyperbilirubinemia who are being treated with phototherapy. Affected neonates develop gray-brown skin, serum, and urine within a week of initiation of phototherapy. All neonates with bronze baby syndrome have hyperbilirubinemia necessitating phototherapy, and most have concomitant liver dysfunction.It involves the trunk and extremities. The exact cause of the gray-brown discoloration in bronze baby syndrome is unceain. Products may accumulate as a result of poor excretion secondary to liver dysfunction. The discoloration presents after exposure to phototherapy and fades after phototherapy is discontinued. Reference: GHAI Essential pediatrics, 8th edition",D
Which of the following is the commonest site of fibroma?,Labia majora,Labia minora,Clitoris,Rudimentary hymen,"Fibroma is a rare benign tumor of the vulva arises from deep connective tissues by fibroblast proliferation. Lesions are primarily found on the labia majora. Larger lesions often become pedunculated with a long stalk and may cause pain or dyspareunia. Surgical excision is indicated for symptomatic lesions. Ref: Hoffman B.L., Schorge J.O., Schaffer J.I., Halvorson L.M., Bradshaw K.D., Cunningham F.G., Calver L.E. (2012). Chapter 4. Benign Disorders of the Lower Reproductive Tract. In B.L. Hoffman, J.O. Schorge, J.I. Schaffer, L.M. Halvorson, K.D. Bradshaw, F.G. Cunningham, L.E. Calver (Eds), Williams Gynecology, 2e.",A
"Emergency contraception prevents pregnancy by all of the following mechanisms, except :",Delaying / inhibiting ovulation,inhibiting feilization,preventing implantation of the feilized egg,Interrupting an early pregnancy,"Postcoital Contraception (Interceptives): interferes with postovulatory events leading to pregnancy and is therefore known as interceptive. It is also known as 'emergency contraception' method used to prevent pregnancy after an unprotected intercourse. Emergency contraception is used following rape, unprotected intercourse or accidental rupture of a condom during coitus taking place around ovulation. It is used in misplaced IUCD and missed pill. These postcoital methods should be used mainly as 'back-up' methods The preparations available include: -Two tablets of relatively high doses of combined pill (Ovran/Eugynon 50), containing 100 mcg EE2 and 1 mg norethisterone, or 500 mcg LNG, taken within 72 h of intercourse followed by two tablets taken 12 h later (Yuzpe and Lancee, 1977). Failure rate--3.2 per 100 woman years. Mode of action: The hormones may delay ovulation if taken soon after intercourse, cause corpus luteolysis, and bring about cervical mucus changes and endometrial atrophy. -Levonorgestrel (LNG). Prostinar tablet contains 0.75 mg LNG. One tablet should be taken within 72 h of unprotected intercourse and another 12 h later. Alternately, two tablets can be taken as a single dose. The failure rate is 1.1%. The tablets can be offered up to 120 h but its efficacy decreases with the longer coital-drug interval. LNG prevents ovulation and causes desynchronization of endometrium through its receptors (luteal phase deficiency). The period may come earlier or delayed. Side effects are those of progestogens. The hormone is not teratogenic in case pregnancy does occur but risk of ectopic pregnancy remains.Advantages: It has no oestrogen and its associated side effects, It can be offered to hypeensive, cardiac and diabetic woman,It can be offered to a lactating woman,It can be given as late as 120 h after the unprotected intercourse,Single-dose therapy is an advantage.Contraindicated in liver disease, contains lactate, so allergy to galactose. The drug is also contraindicated in a woman with history of thrombophlebitis and migraine. -RU 486 (Mifepristone) : RU 486 is a steroid with an affinity for progesterone receptors. It does not prevent feilization but by blocking the action of progesterone on the endometrium, it causes sloughing and shedding of decidua and prevents implantation. It is not teratogenic. A single dose of 25-50 mg is effective in preventing pregnancy in 99.1% cases (failure rate 0.9%). It causes delayed menstruation. Ectopic pregnancy is not avoided. The drug is expensive as compared to LNG. -Ulipristal. Ulipristal is a synthetic progesterone hormone receptor modular, attaches to progesterone receptor and prevents/delays ovulation and suppresses endometrium, prevents implantation. A 30 mg tablet should be taken within 5 days. Two per cent pregnancy rate is repoed. Side effects are headache and mood changes. -Centchroman. Two tablets (60 mg) taken twice in 24 h within 24 h of intercourse can prevent implantation in 99% women. -GnRH Agonists. Daily administration of GnRH agonist (buserelin) prevents ovulation. The drug is on trial for its contraceptive effect. Very expensive--has to be given by subcutaneous injection. -Prostaglandin : Self-administered vaginal suppository containing prostaglandin following an unprotected intercourse, by viue of its luteolytic effect on the ovary and its increased motility effect on fallopian tubes and the uterus, prevents implantation and brings about menstruation. Its specific role as contraceptive is however yet to be established. -Copper T IUCD. Inseed within 5 days of intercourse can prevent implantation of a feilized ovum. Advantages of Copper T as emergency contraception are: It can be inseed as late as 5 days after the unprotected intercourse. It is cheap. Failure rate is 0.1%. It can remain as ongoing contraceptive method for 3-5 years. Reference : page 280 Shaw's Textbook of Gynaecology 16th edition",D
"A male child presented with cryptorchidism, mental retardation and pulmonary stenosis. He has normal karyotype. Which of the following is the diagnosis?",Noonan's syndrome,Turner's syndrome,Down's syndrome,Angelmann's syndrome,"The karyotype is normal and it is a male child so the diagnosis is Noonan's syndrome. Noonan syndrome have normal karyotypes and it is an impoant distinction with Turner's syndrome. Mutations in the RAS-MAPK signaling pathway are responsible for Noonan syndrome. The cardinal features of Noonan syndrome include unusual facies (ie, hypeelorism, down-slanting eyes, and webbed neck), congenital hea disease (in 50%), sho stature, and chest deformity. Approximately 25% of individuals with Noonan syndrome have mental retardation. Bleeding diathesis is present in as many as half of all patients with Noonan syndrome.",A
Radiolagical features in rickets ?,Cupping of distal end of radius,Widening of distal end of metaphysis,Thickening of growth plate,All of the above,"In rickets,radiological changes are characteristically seen at the metaphysis.The first change is loss of normal zone of provisional calcification adjacent to the metaphysis.This begins as an indistinctness of the metaphyseal margin,progressing to a frayed appearance with widened growth plate due to lack of calcification of metaphyseal bone.Weight bearing and stress on uncalcified bone gives rise to splaying and cupping of metaphysis.Eventually,a generalised reduction in bone density is seen. Reference:Essential pediatrics-Ghai,8th edition,page no:113",D
The CSF findings in TB meningitis include –,High sugar + low protein,Low sugar + high protein and Lymphocytosis,High sugar + high chloride,Low sugar + high protein and Lymphopenia,"CSF in T meningitis 

Low sugar                   o Predominant cells --> Lymphocytes           o Opening pressure is elevated
High protein                o Very low chloride",B
Most common indication for liver transplant in children is -,Viral hepatitis with fulminant hepatic failure,Biliary atresia,Metabolic disease,Hepatic tumor,"Ans. is 'b' i.e., Biliary atresia Pediatric liver transplantationo Biliary atresia is commonest indication for liver transplantation in pediatric age group.o Other causes are : -Progressive primary liver diseaseStable liver disease with significant morbidityMetabolic liver diseaseFulminant hepatic failure",B
Bacterial vaginosis does NOT include:,Profuse creamy discharge,Clue cells present,Positive whiff test,Absent leucocytes,"Gardnerella vaginalis, facultatively anaerobic gram-variable rod, is one of the organismsresponsible for bacterial vaginosis (BV). The vaginal discharge of BV is characteristically described as a thin, gray, homogeneous fluid that is adherent to the vaginal mucosa. A fishy vaginal odour, which is paicularly noticeable following coitusis present. Demonstration of clue cells on a saline smear is the most specific criterion for diagnosing BV. The whiff test may be positive in up to 70% of BV patients. The vaginal discharge of patients with BV is notable for its lack of polymorphonuclear leukocytes (PMNs), typically 1 or less than 1 PMN per vaginal epithelial cell.",A
MgSO4 have no role in prevention of,Seizures in severe pre-eclampsia,RDS in premature baby,Recurrent seizures in eclampsia,Neuroprotection,Magnesium sulphate: - Mechanism of action:- * Reduced presynaptic release of the neurotransmitter glutamate * Blockade of glutaminergic n-methyl-d-aspaate (nmda) receptor * Potentiation of adenosine action * Improved calcium buffering by mitochondria * Blockage of calcium entry voltage-gated channels Used for: - * Severe preeclampsia * Recurrent eclamptic seizures * Neuroprotection Must check: - * Urine output * Respiratory rate * Patellar reflexes Ref:- Williams obstetrics 25th Edition; Pg num:- 38/68,B
"A child is brought to you. On examination he has a broad nose with anteveed nostrils. You also note that he has clinodactyly of 5th finger and ""shawl scrotum"". What is the MOST probable diagnosis? Note:- He is sho for his age.",Laron syndrome,Aarskog syndrome,Rothmund - Thomson syndrome,Seckel syndrome,"Aarskog syndrome - is associated with round face, small broad nose with anteveed nostrils, long philtrum and clinodactyly of 5th finger. It is associated with a fold of scrotal skin encircling the base of phallus (shawl scrotum). Good to know: Rothmund - Thomson syndrome - is associated with photosensitivity, alopecia, cataract, hypogonadism and sho stature. Seckel syndrome - is associated with microcephaly, facial hypoplasia, low set malformed ears and mental retardation. Note:- All the conditions mentioned above are associated with sho stature. Ref: Meharban Singh, Edition 3, Page - 85.",B
"OCP's intake cause psychiatric symptoms, and abdominal pain. Diagnosis is:",Acute intermittent porphyria,Systemic lupus,Thrombosis,Anemia,"Ans. is a, i.e. Acute intermittent porphyriaRef: Harrison 17th/ed, p2439Patient taking OCP's and presenting with abdominal pain and psychiatric problem, diagnosis is undoubtedly acute intermittent porphyria as OCP's can precipitate porphyria.Some drugs which precipitate porphyria are:* BarbituratesSulfonamide antibiotics * Meprobamate Gluthemide* Phenytoin Carbamazepine* Valproic acid Pyrazolones* Griseofulvin Ergots* Synthetic estrogen/progestogen (OCP)Danazol* Alcohol Succinimide",A
"A9 month old pregnant lady presents with Jaundice and distension, pedal edema after delivering normal baby. Her clinical condition deteriorates with increasing abdominal distension and severe ascites. Her bilirubin is 5 mg/dl, S. alkaline phosphatase was 450 u/L and ALT (345 Iu). There is tender hepatomegaly 6 cm below costal margin and ascitic fluid shw protein less than 2 mg%. Diagnosis is",>Acute fatty liver of pregnancy,>HELLP syndrome,">Acute fulminant, liver failure",>Budd chiari syndrome,"Budd chiari syndrome The most common cause of an acute severe livery injury in a young pregnant women are - Viral hepatitis (HAV, HBV) - Eclampsia, preeclampsia (HELLP syndrome) - Acute fatty liver of pregnancy - Budd chiary syndrome Let us discuss the options Preeclampsia and Eclampsia - It is the most common cause of abnormal liver chemistry test in women. Liver enzyme tests are only mildly abnormal in patients with liver diseases. Aminotransferases are modestly elevated. Alkaline phosphatase is subtantially increased But in these cases delivery of the fetus is followed by rapid normalization of the hepatic abnormalities. Moreover there is no mention of history of P.I.H, hemolysis and thrombocytopenia (HELLP syndrome) Acute Fatty liver of pregnancy Acute fatty liver develops after 34th week of pregnancy Jaundice develops a few days after the onset, the serum bilirubin is rarely above 10 mg/dl. Alkaline phosphate is markedly elevated. Aminotransferases are moderately elevated. A markedly raised serum ammonia is the most diagnostic finding in establishing the diagnosis of acute fatty liver-of pregnancy Fulminant hepatic failure The patient presents with features of severe acute hepatitis leading to the development of hepatic encephalopathy within 8 weeks of onset. The bilirubin increases to 20-30 mg/d1. The aminotransferase levels are very high (> 1000) alkaline phosphatase moderately elevated. Delivery is usually the best treatment. Paurition usually results in resolution. Budd chiary syndrome It is a disorder characterized by thrombotic occlusion of the hepatis veins. It is a rare complication of pregnancy. Most of the cases presents within few weeks of delivery but in several cases onset occurs during pregnancy. Clinical triad of B.C. syndrome includes sudden onset of abdominal pain, hepatontegaly and ascites near tee_ rn or sholy after delivery. Tender hepatomegaly is one of the hallmark of Budd chiari syndrome. Ascites with a high protein content is always present. Aminotransferases are mildly elevated. Jaundice is seen in only half of the cases.",D
One of the following features can be used to define contracted pelvis:,Transverse diameter of inlet is 10 cm,AP diameter of inlet is 12 cm,Platypelloid pelvis,Gynaecoid pelvis,"Minimal/Critical diameters of the Pelvis: If any of the following diameter is less than critical diameter, Pelvis is said to be contracted",A
"A couple having unprotected intercourse for one year and not able to conceive presents to infertility clinic. Woman has normal menstrual cycle. Semen analysis shows abnormal sperm morphology, low count and normal volume. Best next step would be:",Perform HSG in woman,"Check LH, FSH levels",Repeat test,Get a scrotal USG done,"Ans. is c, i.e. Repeat testRef: Williams Gynae 3rd/ed, fig 19.11, p445If a semen analysis report comes abnormal then a repeat semen analysis should be done at 1 month interval. If that also comes abnormal then other investigations should be done.",C
