Question,A,B,C,D,Explanation,Answer
All except one can cross blood brain barrier,Neostigmine,Atropine,Lignocaine,Physostigmine,"Neostigmine being quaternary amine , is highly ionised and does not cross blood brain barrier.",A
Bone marrow depression is seen with chronic administration of -,Isoflurane,N2O,Ether,Halothane,"Ans. is 'b' i.e., N2O Nitrous oxide N2Oo It is colourless, odourless, heavier than air, nonirritating and noninflammable gas.o It is also called laughing gas.o MAC is 105% (least potent) - even pure N2O at 1 atmospheric pressure can not produce adequate anaesthesia.o It has good analgesic but poor muscle relaxant activity.o It is supplied under pressure in blue coloured steel cyclinders.o It has very low blood solubility - induction is quick and smooth with rapid recovery.o Second gas effect and diffusion hypoxia occur with N2O only.o N2O is generally used as a carrier and adjuvant to other anaesthetics - A mixture of 70% N2O + 25 - 30% O2 + 0[?]2 - 2% another potent anaesthetic is employed for most of the surgical procedures.o Entonox is a mixture of 50% N2O and 50% O2.o It has little effect on respiration, heart and BP.o It can cause bone marrow depression and vit B12 deficiency.o N2O is the only anaesthetic reported to produce hematologic toxicity and neurotoxicity with long term administration.o Both toxicides are the result of the interaction of N2O with vit B12.o Complete bone marrow failure can be expected after several days of continuous exposure.o Bone marrow changes are preventable by pretreating patients with large doses of folinic acid.o Other manifestations of vit B12 deficiency eg. megaloblastic anemia, subacute combined degeneration of cord may also occur.o Methemoglobinemia and laryngospasm may occur.o It is contraindicated in patients with air cavities like pneumothorax, pneumoperitoneum and volvulus - expansion and increase in pressure occur.",B
Which of the following is/are not intermediate acting non depolarizing NMB -,Pancuronium,Vecuronium,Rocuronium,Atracurium,Non depolarizing muscle relaxants are classified according to their structure and duration of action as: Stucture Clinical duration Long acting (>50 min) Intermediate (20-50 min) Sho (15-20 min) Ultra-sho (<10-12 min) Steroidal Pancuronium Pipecuronium Vecuronium Rocuronium Benzyliso- quinolinium d-Tubocurarine Metacurine Doxacurium Atracurium Cis-atracurium Mivacurium Onium chlorofumarate Gantacurium Phenolic ether Gallamine,A
The gene responsible for coding plasma cholinesterase is located at-,Chromosome 3 at q 26,Chromosome 3 at q 27,Chromosome 4 at q 26,Chromosome 4 at q 27,"plasma cholinesterase or butyryl cholinesterase activity affected when atypical butyryl cholinesterase is seen in wrong coding of this enzyme. it is genetic cause of suxamethonium apnea, Reduced butyryl cholinesterase activity is seen in Liver disease Pregnancy Malnutrition Old age Drugs like - oral contraceptives, monoamine oxidase inhibitors, echothiophate, cytotoxic drugs, neoplastic disease, anticholinesterase drugs and metoclopramide. Butyrylcholinesterase is the enzyme which degrades succinyl choline. It is synthesized in the liver and found in the plasma. Decreased butyrylcholinesterase is not a major concern in clinical practice because even in a large decrease in the enzyme activity will produce an only slight increase in duration of neuromuscular blockade.",A
"During laryngoscopy and intubation procedure, all of these are true, except:",A slight pressure may be applied at the cricoid cailage,The laryngoscope is held in the right hand introduced from the right side of the patient,The neck is flexed with extension at the atlanto!occipital joint,"After inseion of laryngoscope, it is levered on the upper incisor to pull up the tongue and visualize the vocal cords","Ans: D. After inseion of laryngoscope, it is levered on the upper incisor to pull up the tongue and visualize the vocal cords(Ref: Miller 81c, p I 666-7667. 71e p1587).The laryngoscope should never be hinged on the teeth to lift up the epiglottis.The patient is aligned in a ""sniffing"" position, i.e. neck (atlanto-axial joint) flexion and face extension (atlanto-occipital joint), at around 35deg and 15deg respectively",D
The non depolarizing neuromuscular blocker has a normal activity with all the following except:,Myotonia,Muscular dystrophy,Upper motor neuron lesions,Myasthenia gravis,In myasthenia gravis circulating antibodies produce a functional reduction in the number of postsynaptic acetylcholine receptors. The myasthenia patients are usually resistant to Succinylcholine. Sensitively to non depolarizing NMB is increased to a variable extent. In Myasthenia patient nondepolarizing neuromuscular is given is less dose.,D
Which one of the following is the description used for the term allodynia during pain management?,Absence of pain perception,Complete lack of pain sensation,Unpleasant sensation with or without a stimulus,Perception of an ordinarily nonnoxious sitmulus as severe pain.,"Ans. is 'd' i.e. Perception of an ordinarily nonnoxious stimuli as severe pain Terms used in pain managementAllodyniaPerception of an ordinarily nonnoxious stimulus as painAnalgesiaAbsence of pain perceptionAnaesthesiaAbsence of all sensationsDysesthesiaUnpleasant or abnormal sensation with or without a stimulusHypalgesiaDiminished response to noxious stimulationHyperalgesiaIncreased response to noxious stimulationHyperaesthesiaIncreased response to mild stimulationHyperpathiaPresence of hyperaesthesia, allodynia and hyperalgesia usually associated with overreaction and persistence of sensation after the stimulusHypoaesthesiaReduced cutaneous sensation (e.g. light touch, pressure or temperature)NeuralgiaPain in the distribution of a nerve or a group of nerves.ParesthesiaAbnormal sensation perceived without an apparent stimulusRadiculopathyFunctional abnormality of one or more roots",D
Succinylcholine is contraindicated in?,Hyperkalemia,Hypokalemia,Hypercalcemia,Hypocalcemia,"Ans. is 'a' i.e., Hyperkalemia * Sch can cause dangerous hyperkalemia in and is contraindicated in:1. Burn, massive trauma, crush injury2. Severe intraabdominal infection (sepsis),3. Spinal cord injury, hemiplegia /paraplagia4. Muscular dystrophy, gb syndrome, rhabdomyolysis, myasthenia gravis,5. Severe parkinsonism, tetanus, polyneuropathy, Closed head injury, stroke, encephalitis.",A
Current mode of analgesia best for intrapaum pain relief?,Epidural analgesia,Spinal anaesthesia,Inhalational,Local analgesia,"Ans. is 'a' i.e., Epidural Analgesia Continuous lumbar epidural analgesia is the procedure of choice for pain relief during normal labour and vaginal delivery (Intrapaum pain).",A
Inducing agent contraindicated in asthma is,Ketamine,Thiopentone,Propofol,Althesin,D i.e. Althesin Contraindications Steroidal agent (Althesin) is contraindicated in Porphyria and AsthamaQ Adernaline is C/I with Halothane and Ring block is C/I in finger Ether and Cylopropane are C/I with cauery Trilene is C/I with sodalime In pregnancy Gallamine and Morphine In Diabetics Ether (better answer) & Chloroform as both causes hyperglycemia In liver damage Choloroform (1st ) & Halothane In renal damageMethoxyflurane & Morphine as both leads to High Output renal failure. Gallamine is also C/I Thiopentone is C/I in acute intermittent porphyria,D
An anaesthetist is using Mallampati classification for which of the following purpose?,Inspection of oral cavity before intubation,Size of the airway,Size of the ET tube,Tracheostomy tube,"Mallampati classification is based on the structures seen with maximal mouth opening and tongue protrusion without phonation in the sitting position. The observer's eye should be at the level of the patient's mouth. This classification correlates with intubation difficulty. Mallampati classification (Modified by Samsoon and Young): Mallampati Class Intraoral structures visible Class I Soft palate, fauces, uvula, pillars Class II Soft palate, fauces, poion of uvula Class III Soft palate, base of uvula Class IV Hard palate only (later added by Samsoon and Young)",A
"5 minutes before recovery from anesthesia, nitrous oxide is removed and 100% oxygen is administered to the patient to prevent -",Diffusion Hypoxia,Second gas effect,Hyperoxia,Bronchospasm,"Ans. is' a' i.e., Diffusion hypoxia Diffusion hypoxiao In initial part of induction, diffusion gradient from alveoli to blood is high and larger quantity of anaesthetic is entering blood. If the inhaled Concentration of anaesthetic is high (eg N2O), Substantial loss of alveolar gas volume will occur and it creates negative intra-alveolar pressure that leads to removal of more gas from cylinder to alveoli - Concentration effect.o During recovery reverse occurs - N2O having low blood solubility, rapidly diffuses into alveoli and dilutes the alveolar air - partial pressure of oxygen in alveoli is reduced.o The resulting hypoxia is known as diffusion hypoxia (Fink effect).o Diffusion hypoxia occurs in first 5-10 minutes of recovery.o Diffusion hypoxia can be prevented by continuing 100% O2 inhalation for a few minutes after discontinuing N2O, instead of straight away switching over to air. Besides N2O, Xenon also causes diffusion hypoxia.",A
All  except one are true about cocaine,Is ester of benzoic acid,Produces para aminobenzoic acid as metabolite,Metabolised by liver,Vasoconstrictor,"Cocaine being metabolisd by liver, does not produce PABA.",B
Local Anesthetic first used,Procaine,Lignocaine,Bupivacaine,Cocaine,Cocaine was the earliest used local anaesthesia(1st time used by Carl Koller in 1884 for occular surgery) cocaine is a naturaly occuring ester linked local anesthetic,D
Malignant hyperthermia is,Autosomal recessive pharamacogenetic disease,Succinylcholine is a triggering agent,Metabolic alkalosis and hypokalemia,Calcium infusion is used for treatment.,"Malignant hyperthermia is autosomal dominant disease. It is characterized by metabolic acidosis and hyperkalemia.
i.v dantrolene infusion is used for treatment.",B
"A 28-year-old female opts for painless labor. On administration of the epidural anesthetic, there is a sudden drop in the blood pressure. The reason for this was found to be accidental intravenous injection of the anesthetic drug. Which of the following drugs is the most likely responsible for the present condition?",Tetracaine,Lignocaine,Ropivacaine,Bupivacaine,"Answer: d) BupivacaineBupivacaineBupivacaine is typically used in painless labor.It is long-acting and an amide local anesthetic.It is injected outside the duramater.The most important complication is accidental intravenous administration of the drug.This can be prevented by slow administration in 3-5 mL increments gradually to watch out for the side effects related to intravenous administration.Bupivacaine binds to the sodium channels more strongly, especially those in the bundle of His, when compared to local anesthetics.This can result in significant cardiac arrhythmias, which present as palpitations and hypotension.Concentrations of 0.125 % and 0.25 % are used in painless labor; 0.75 % is absolutely contraindicated because of cardiovascular adverse effects.",D
What is pin index of O2-Co2 (Co2 > 7.5%):-,"1,6","2,6","3,6","4,6","Gas Index Pins Oxygen 2,5 Nitrous oxide 3,5 Cyclopropane 3,6 O2-CO2 (CO2<7.5%) 2,6 O2-CO2(CO2>7.5%) 1,6 O2-he(He>80.5%) 4,6 O2-he(He<80.5%) 2,4 Air 1,5 Nitrogen 1,4 N2O-O 7",A
Which anaesthetic agent does not affect blood flow to liver?,Halothane,Isoflurane,Enflurane,Sevoflurane,"- Total hepatic blood flow = hepatic aery blood flow + poal blood flow- Liver maintains total hepatic blood flow by autoregulation- All inhalational anesthetic agents disrupt dual blood supply of liver - Halothane completely disrupts dual blood supply- Halothane - acyl halide (metabolite) - Auto immune hepatitis - Enflurane also affects liver blood flow- Isoflurane, sevoflurane & desflurane - maintain hepatic blood flow - Desflurane - Best in maintaining liver blood flow - Not metabolized by liver and kidney - Sevoflurane - Higher MAC- Decreases little amount of hepatic blood flow",B
Which of the following anesthetic is safe in hea failure,Etomidate,Propofol,Thiopentone,Ketamine,"Etomidate has proven useful in patients with valvular or ischemic hea disease who are undergoing noncardiac surgical procedures and in patients with poor cardiac function. The hemodynamic stability seen with etomidate is caused by its lack of effect on the sympathetic nervous system and on the function of the baroreceptor. In multiple studies, etomidate has been used for induction in patients with a compromised cardiovascular system who are undergoing coronary aery bypass surgery or valve surgery, as well as in patients requiring induction of general anesthesia for percutaneous transluminal coronary angioplasty, aoic aneurysm repair, and thoracic surgery. For cardioversion, the rapid onset, quick recovery, and maintenance of aerial blood pressure in these sometimes hemodynamically tenuous patients, combined with continued spontaneous respiration, make etomidate an acceptable choice. Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",A
The anaesthetic agent that causes maximum increase in intracranial pressure is,Isoflurane,Halothane,Enflurane,Desflurane,"By dilating cerebral vessels, halothane lowers cerebral vascular resistance and increases cerebral blood volume and CBF. Autoregulation, the maintenance of constant CBF during changes in aerial blood pressure, is blunted. Concomitant rises in intracranial pressure can be prevented by establishing hyperventilation before the administration of halothane. Cerebral activity is decreased, leading to electroencephalographic slowing and modest reductions in metabolic oxygen requirements. Ref: Miller's anesthesia 8th edition Ref: Morgan & Mikhail's clinical anesthesiology 6e",B
Longest acting muscle relaxant?,Doxacurium,Atracurium,Scoline,Vecuronium,"Ans. a. Doxacurium (Ref: Tripathi 6th edition, 345; Lee 12th edition, p. 180-190).Doxacurium is a bisquaternary muscle relaxant having the least rapid onset and the longest action: suitable for longer duration surgeries. It is primarily eliminated by kidney, although hepatic metabolism also occurs. Cardio- vascular chnages are minimal.PROPERTY*MUSCLE RELAXANT (M.R.)Rapid onset of Action*Sch (overall); Rocuronium (non depolarising)Shortest Acting*Sch (overall); Mivacuronium (non depolarising)Longest Acting*DoxacuriumExcreted in Liver*Rocuronium; VencuroniumNo placenta crossing*d-TCHisatminerelease*d- TC (maximum): Atracuroniuin; Mivacuronium; SchLeast Histamine release* VlcoroniumMost CArdiostable*VicoroniumM.R. used to decrease BP*d-TCM.R. Used to maintain BP*PancuroniumM.R.Safein asthma* Vecronium: CisatracuroniumM.R. Causing epilepsv* Atrocuronium; secondary Launodo rubinM.R. Metabolised by Hoffmann's elimination* Cisatracuronium: AtracuroniumComparative properties of neuromuscular blocking drugsDrugDose (mg/kg)Onset (min)Duration (min)Hist. releaseGang blockVagal blockLONG ACTING1.d- Tubocurarilng0.2-0.44-630-60++++++-2.Pancuronium0.04- 0.14-660-120+-+-+3.Doxacurium0.03-0.084-860-120+--4.Pipecuronium0.05-0.082-850-100+---INTERMEDIATE NACTING5.Vecuronium0.08-0.12-430-60+--+6.Atracurium0.3-0.62-420-35+--7.Clsatracurium0.15-0.23-620-40---8.Rocuronium0.6-0.91-225-40--+-SHORT ACTING9.Mivacurium0.07-0.152-412- 20+--10.SUCCILNYLCHOLNE0.5-0.81-1.53-6++StSt.",A
Which anaesthetic agent can have teratogenic effect?,N2O,Halothane,Isoflurane,Desflurane,Nitrous oxide can have teratogenic effect if used for prolonged period of time.,A
Maximum O2. concentration attained in venture mask is?,90%,100%,60%,80%,ANSWER: (C) 60%REF: Ajay Yadav 2ad ed p.35Equipment and oxygen delivered in %Nasal canula - 44%Venturi mask - 60%Oxygen mask - 60%Ventilators -100%,C
All of the following factors decrease the minimum alveolar concentration (MAC) of an inhalation anaesthetic agent except –,Hypothermia,Hyponatremia,Hypocalcemia,Anemia,"Hypercalcemia (not hypocalcemia) decreases MAC.

Factor's decreasing MAC :- Old age, acute alcohol intake, hypothermia, hyperthermia, hypercalcemia, hyponatermia,
hypermagnesemia, Hypoxia, Hypercarbia, Anemia, Pregnancy, drugs.
Factors increasing MAC :-Young age, chronic alcohol intake, hypematremia, Drugs.",C
Which of the following is not an indication for endotracheal intubation?,Maintenance of a patent airway,To provide positive pressure ventilation,Pulmonary toilet,Pneumothorax,Pneumothorax requires urgent needle thoracocentesis and/or Intercostal drainage. Pneumothorax is a known complication of endotracheal intubation and mechanical ventilation and is certainly not an indication for the same.,D
Inducing dose of Propofol in adults,1 mg/kg,2 mg/kg,3 mg/kg,5 mg/kg,"(B) 2 mg/kg > The dose of Propofol is 2-2.5 mg/kg for induction.> The lower dose should be used in the elderly.> The effective blood concentration for anaesthesia (ED 90 - the dose at which the effect is seen for 90% of patients) is 3.4 mg/mL when used with 67% nitrous oxide.> Sedation may be produced with a 0.2 mg/kg bolus dose intravenously or an infusion of 2 mg/kg/h, which produces a blood concentration of about 2 mg/mL.> Co-induction with either an opioid or midazolam enables the induction dose and initial target level for TCI to be reduced.> Myoclonic movements are common on induction, especially with slow injection. Emergence is more rapid than with thiopentc , with less 'hangover'.",B
MAC stands for?,Minimum alveolar concentration,Minimal analgesic concentration,Minimal anesthetic concentration,Maximum alveolar concentration,"Ans. is 'a' i.e., Minimum alveolar concentration Minimal alveolar concentration (MAC)* Most important measure of potency is minimal alveolar concentration (MAC). MAC is the lowest concentration of the anesthetic in pulmonary alveoli needed to produce immobility in response to a painful stimulus (surgical incision) in 50% individuals. Higher the MAC, less potent the anesthetic agent.* Methoxyflurane has minimum MAC (0.16%) - The most potent inhalational agent.* N2O has maximum MAC (105) - The least potent inhalational agent.* Order of potency in decreasing order (MAC in increasing order): -* Methoxyflurane (MAC = 0.16 %) > Trilene (MAC = 0.2%) > Halothane (MAC = 0.74%) > Chloroform (MAC = 0.8 %) > Isoflurane (MAC = 1.15 %) > Enflurane (MAC = 1.68%) > Ether (MAC = 1.92 %) > Sevoflurane (MAC = 2.0 %)> Desflurane (MAC = 6.0%) > Cyclopropane (MAC = 9.2%) > N20 (MAC 104%).Factor affecting MAC1. Age: - Young age increases and old age decreases MAC.2. Alcohol: - Chronic intoxication increases and acute intoxication decreases MAC.3. Temperature: - Both hypothermia and hyperthermia decrease MAC.4. Electrolyte: - Hypercalcemia, Hypermagnesemia & Hyponatremia decrease. Whereas hypernatremia increases MAC.5. Anemia : - Decrease MAC6. Hypoxia (pO2 < 40), and hypercarbia (pCO2 > 95) decrease MAC.7. Pregnancy: - Decreases MAC8. Drugs: -A. Decreasing MAC - Local anaesthetics (except cocaine) Opioids, Ketamine, Barbiturates, Benzodiazepines, Verapamil, Lithium, Sympatholytics (Methyldopa, reserpine, Clonidine, Dexmedetomidine), Chronic amphetamine use.B. Increasing MAC: - Acute amphetamine intake, Cocaine, ephedrine.",A
Most cardiostable among the following is,Thiopentone sodium,Ketamine,Propofol,Etomidate,"Thiopentone, propofol, ketamine cardio unstable Etomidate cardio stable Etomidate is the most cardiac stable intravenous agent due to its lack of effect on the sympathetic nervous system and on the function of the baroreceptor. The myocardial oxygen supply-to-demand ratio is well maintained. Hence, etomidate is the intravenous agent of choice in patients with coronary aery disease, cardiomyopathy and cerebral vascular disease.",D
Who coined term anaestehsia,Moon,Holmes,Morgan,Priestly,"The term 'Anaesthesia' was coined by Oliver Wendell Holmes in 1846The term ""Balanced Anaesthesia"" was coined by John Lundy and Ralph Waters.(Refer: Morgan and Mikhail's Clinical Anaesthesiology, 5th edition, pg no.1)",B
What is amethocaine:,It is ester local anesthetic,It is other name of tetracaine,It is also typically very effective on local application,All are true,"Amethocaine is an ester local anaesthetic tetracaine. It is a very effective surface anesthetic. Tetracaine, also known as amethocaine, is a local anesthetic used to numb the eyes, nose, or throat. It may also be used before staing an intravenous to decrease pain from the procedure. Typically it is applied as a liquid to the area.",D
Maximum FiO2 which can be given through a nasal oxygen catheter:-,1,0.6,0.2,0.44,"A nasal cannula is generally used wherever small amounts of supplemental oxygen are required, without rigid control of respiration, such as in oxygen therapy. Most cannulae can only provide oxygen at low flow rates--up to 5 litres per minute (L/min)--delivering an oxygen concentration of 28-44%. Rates above 5 L/min can result in discomfo to the patient, drying of the nasal passages, and possibly nose bleeds (epistaxis). Also with flow rates above 6 L/min, the laminar flow becomes turbulent and the oxygen therapy being delivered is only as effective as delivering 5-6 L/min. The nasal cannula is often used in elderly patients or patients who can benefit from oxygen therapy but do not require it to self respirate. These patients do not need oxygen to the degree of wearing a non-rebreather mask. It is especially useful in those patients where vasoconstriction could negatively impact their condition, such as those suffering from strokes.",D
Fixed performance device is,Ventury mask,Nasal cannula,Simple mask,Non rebreathing mask,venturi mask is a device used to deliver designated oxygen concentration to patients on controlled oxygen therapy. It is designed with wide bore tubes with various colour adapters. Each colour code responds to the precise oxygen concentration and specific litre flow.,A
Laughing gas is: March 2005,Ketamine,Nitric oxide,Nitrous oxide,Methane,"Ans. C: Nitrous oxide Nitrous oxide is known as ""laughing gas"" due to the euphoric effects of inhaling it, a propey that has led to its recreational use as a dissociative hallucinogen",C
Awakening from a single bolus dose in rapid from Propofol due to;-,Redistribution,Excretion,Biotransformation,D- Methylation,"It is redistributed from the brain to tissues which are less perfused like muscles, resulting in rapid recovery within 20 minutes. All intravenous anaesthetic agent undergo rapid redistribution. Thus awakening from Thiopentone, Propofal, Etomidate, ketamine is very fast.",A
All are opioid agonist - antagonist compounds except,Buprenorphine,Nalbuphine,Pentazocine,Nalmefene,D i.e. Nalmefene,D
Features of depolarising neuromuscular blocking agents are all/ except,Cause muscle fascicutation,No fade,No post tetanic facilitation,Reversed by neostigmine,D i.e. Reversed by neostigmine,D
Drug used to prolong action of LA in Hypertensive pts –,Clonidine,Felypressin,Dexmeditomidate,Noradrenalin,"Vasoconstrictor are used along with local anaesthetics.
Adrenaline is the most commonly used vasoconstrictor. Less commonly phenylephrine is also used. Felypressin (synthetic vasopressine) does not effect BP & HR → Preferred in patients with cardiovascular disease.",B
True about Larynegeal mask airway – a) More reliable than face maskb) Prevent aspirationc) Alternative to Endotracheal tube (E.T.T)d) Does not require laryngoscope & visualisatione) Can be used in full stomach,acd,ad,bc,bde,"LMA is intermediate between the face mask and Endotracheal intubation in terms of reliability, invasiveness and facilitation of gas exchance (face mask has minimum and endotracheal intubation has maximum).
LMA does not prevent aspiration -4 should not be used in full stomach patients.
LMA can be used as an alternative to endotracheal intubation for minor surgeries, where anaesthetist wants to avoid intubation.
LMA is introduced blindly (without laryngoscopy).",A
In Bier's block aesthetic agent given by which route?,Intravenous,Peribulbar region,Retrobulbar area,Dermal,"(Refer: Morgan and Mikhail's Clinical Anaesthesiology, 5th edition, pg no.1000)",A
The first drug used as local anaesthetic is ?,Cocaine,Prilocaine,Procaine,Lidocaine,"Ans. is'a' i.e., CocaineCocaine was the first local anaesthetic used by Carl Koller. It was used for anaesthetizing cornea.",A
Patient should be kept nil orally for:,4 hours,6 hours,8 hours,12 hours,"for adults 6 hours for liquids and semisolids 8 hours for fried, fatty food Recommended Preoperative Fasting period for neonates and infants are 6 hours for solids/formula feeds/cow's milk 4 hours for breast milk Recommended Preoperative Fasting periods for all above 1 year of age are 2 hours for clear fluids 4 hours for breast milk 6 hours for light meal 8 hours for fried, fatty food For clear fluid new clinical Study has recommended for liberal approach and 2hrs is upgraded to 1 hr. If type of food is not specified NPO status should be 6 hrs.",B
