Question,A,B,C,D,Explanation,Answer
Most important antigen presenting cells in human?,Macrophages,Plasma cells,Langerhan's cells/histiocytes,Lymphocytes,"Ans. c (Langerhan's cells/histiocytes). (Ref. Robbins, Pathology, 7th, 199, 1228)# Macrophages have role in inflammation and induction and effector phase of immune response.# Dendritic cells are important antigen presenting cells for initiating primary immune responses against protein ags.# Features which contribute to their function are location at right place to capture ags (under epithelia, in interstitia), expression of receptors for capturing and responding to microbes (TLRs and mannose receptors) and expression of same chemokine receptors as do naive T-and immature dendritic cells within epidermis are Langerhan's cells.Cell TypeMajor Role in Innate ImmunityMajor Role in Adaptive ImmunityPlasmacytoid dendritic cells (DCs) of lymphoid lineageProduce large amounts of IFN-alpha which has antitumor and antiviral activity, and are found in T cell zones of lymphoid organs; they circulate in blood.IFN-alpha is a potent activator of macrophage and mature DCs to phagocytose invading pathogens and present pathogen antigens to T and B cellsMyeloid dendritic cells are of two types; Interstitial and Langerhans-derived- Interstitial DCs are strong producers of IL-12 and IL-10 and are located in T cell zones of lymphoid organs, circulate in blood, and are present in the interstices of the lung, heart, and kidney;- Langerhans DCs are strong producers of IL-12; are located in- T cell zones of lymph nodes,- Skin epithelia, and- Thymic medulla;- and circulate in bloodInterstitial DCs are potent activators of macrophages and mature DCs to phagocytose invading pathogens and present pathogen antigens to T and B ceils",C
Drug causing impaired taste is,metronidazole,losaan,paracetamol,aspirin,"antibiotics, such as ACE inhibitors like <a class='content-link' style='-webkit-font-smoothing: antialiased; box-sizing: inherit; background-color: transparent; cursor: pointer; text-decoration-line: none; border-color: currentcolor; color: ;' href=' anhydrase inhibitors, such as methazolamide etc</li> ESSENTIALS of medical PHARMACOLOGY SIXTH EDITION-KD TRIPATHI Page:688,689",A
Size of paicle for aerosol therapy/respirable dust is?,0.5-1,5-Jan,10-May,15-Oct,"Ans. is 'b' i.e., 1-5 o The two type of devices used for aerosol therapy are matered-dose inhalers and nebulizer. Both devices provide a range of paicle sizes that includes the desired 1-5 range.",B
True about Heyman rat glomerulonephritis ?,Heymann antigen is called megalin,Electron dense deposits in subendothelial space,Electron dense deposits in mesangium,None.,"Ans. is 'a' i.e., Heymann antigen is called megalino The Heyman model of rat glomerulonephritis is glomerulonephritis due to deposition of nonglomerular basementmembrane, autologous antibody.o It is induced by immunizing rat with an antigen containing preparation of proximal tubular brush border.o The rats develop antibodies to this antigen and a membranous glomerulopathy, resembling human membranous glomerulopathy. The antigen is called megalin and homology to LDL receptor.o On electron microscopy, the glomerulopathy is characterized by presence of numerous electron dense depositsalong the subepithelial aspect of basement membrane. Immunothiorenscence microscopy shows granular deposit. o This disease results largely from the reaction of antibody with an antigen complex located basal surface of visceralepithelium and cross-reacting with the brush border antigen used in experiments.o The antibody binding to the glomerular epithelial cell membrane is followed by complement activation and subepithelial deposit.",A
"A 4-year-old girl sustained an isolated, closed, diaphyseal fracture of her left femur in a motor vehicle accident. The fracture was transverse with approximately 1.5 cm of shoening. The most appropriate definitive management of this fracture is NOT RELATED-OHO",Skeletal traction,Immediate application of a hip spica cast,Skeletal traction for 2 weeks followed by application of a hip spica cast,External skeletal fixation,"Isolated, closed femoral shaft fractures in children under 10 years of age are best managed by immediate closed reduction and application of a spica cast.",B
All of the following are free radical scavengers except,Superoxide dismutase,Glutathione peroxidase,Catalase,Hydrogen peroxide,"Cells have developed many mechanisms to remove free radicals and thereby minimize injury Antioxidant enzymes include glutathione peroxidase, SOD and catalase. Hydrogen peroxide is one of the free radical involved in causing injury Reference: Robbins and Cotran Pathologic Basis of Disease, page 48, 9th edition; Chapter 2",D
"As compared to morphine, methadone is -",Superior analgesic and inferior hypnotic,Superior hypnotic and inferior analgesic,Superior analgesic and superior hypnotic,Inferior analgenic and inferior hypnotic,"Ans. is 'a' i.e., Superior analgesic and inferior hypnotic I mg of methadone can be substituted for 4 mg of morphine. Methadone is less hypnotic than morphine (sedative action is less intense).",A
"After taking some drug for acute attack of migraine, a patient developed nausea and vomiting. He also developed tingling and numbness in the tip of the finger that also turned blue. Which of the following is the most likely drug implicated in causing the above findings",Ergotamine,Aspirin,Sumatriptan,Butorphanol,"Ergotamine:- Mech of action:- It acts as a paial agonist and antagonist at a adrenergic and all subtypes of 5-HT1 and 5-HT2 receptors. It produces sustained vasoconstriction(leading to Acrocyanosis), visceral smooth muscle contraction, vasomotor centre depression and antagonizes the action of NA and 5-HT on smooth muscles. It is a potent emetic (through CTZ and vomiting centre) and moderately potent oxytocic. At high doses CNS stimulation and paresthesias may be experienced. On chronic exposure (ergot poisoning) vasoconstriction is accompanied by damage to capillary endothelium--thrombosis, vascular stasis and gangrene. Ref:- kd tripathi; pg num:-175,176",A
True about COX-2 are all except-,It is constitutionally expressed on some cell surfaces,Activation of COX-2 leads to ulceroprotective effect on gastric mucosa,Induced at the site of inflammation,It is utilized in generation of eicosanoids with a ring structure,"Ans. is 'b' i.e., Activation of COX-2 leads to ulceroprotective effect on gastric mucosa It has been explained earlier that COX-2 is an inducible enzyme. But, At two sites it is constitutively active i) Kidney ii) Brain o Induction of cyclooxygenase (COX) will enhance the production of prostaglandins, which have ulceroprotective effect. But, it is COX-1 (not COX-2) which acts at stomach and produces gastroprotective effect --> so, COX-2 inhibitors usually don't have gastrointestinal side effects unlike COX-1 inhibitors which have gastrointestinal side effects. o COX-2 is an inducible enzyme -3 induced at the site of inflammation. o COX-2 is involved in the synthesis of prostaglandins (PGs are eicosanoids) which have cyclopentane ring (ring structure).",B
Bisphosphonates are used in all the following except,Paget disease,Osteoporosis,Hypercalcemia of malignancy,Vitamin D excess,Uses of bisphosphonates Treatment and Prophylaxis of osteoporosis Treatment of hypercalcemia of malignancy Paget's disease Arrest of bony osteolytic metastasis.,D
Which of the following is true of body iron stores?,Absorption is increased in iron deficiency and reduced in iron overload,Normally iron is stored as hemosiderin,Hepcidin increases iron absorption in iron overload,Transferrin is used as a storage form in iron overload,"IRON DEFICIENCY ANAEMIA Iron Metabolism The amount of iron obtained from the diet should replace the losses from the skin, bowel and genitourinary tract. These losses together are about 1 mg daily in an adult male or in a non-menstruating female, while in a menstruating woman there is an additional iron loss of 0.5-1 mg daily. ABSORPTION. Iron is absorbed mainly in the duodenum and proximal jejunum. Iron from a diet containing haem is better absorbed than non-haem iron. Absorption of non-haem iron is enhanced by factors such as ascorbic acid (vitamin C), citric acid, amino acids, sugars, gastric secretions and hydrochloric acid. Iron absorption is impaired by factors like medicinal antacids, milk, pancreatic secretions, phytates, phosphates, ethylene diamine tetra-acetic acid (EDTA) and tannates contained in tea. Transpo across the membrane is accomplished by divalent metal transpoer 1 (DMT 1). Once inside the gut cells, ferric iron may be either stored as ferritin or fuher transpoed to transferrin by two vehicle proteins--ferropoin and hephaestin. The major mechanism of maintaining iron balance in the body is by intestinal absorption of dietary iron. When the demand for iron is increased (e.g. during pregnancy, menstruation, periods of growth and various diseases), there is increased iron absorption, while excessive body stores of iron cause reduced intestinal iron absorption. TRANSPO. Iron is transpoed in plasma bound to a b-globulin, transferrin, synthesised in the liver. Transferrin-bound iron is made available to the marrow where the developing erythroid cells having transferring receptors utilise iron for haemoglobin synthesis. Transferrin is reutilised after iron is released from it. But in conditions where transferrin-iron saturation is increased, parenchymal iron uptake is increased. The storage form of iron (ferritin and haemosiderin) in RE cells is normally not functional but can be readily mobilised in response to increased demands for erythropoiesis. Ref: TEXTBOOK OF PATHOLOGY 6th EDITION - HARSH MOHAN PAGE NO: 295-296",A
ATT causing orange coloured urine is:,Rifampicin,Isoniazid,Streptomycin,Pyrazinamide,"R ifampin (Rifampicin, R): It is a semisynthetic derivative of rifamycin B Adverse effects :The incidence of adverse effects is similar to INH. Hepatitis, a major adverse effect, generally occurs in patients with preexisting liver disease and is dose-related: development of jaundice requires discontinuation of the drug-then it is reversible. Other serious but rare reactions are: * &;Respiratory syndrome&;: breathlessness which may be associated with shock and collapse. * Purpura, haemolysis, shock and renal failure. Minor reactions usually not requiring drug withdrawal and more common with intermittent regimens are: * &;Cutaneous syndrome&;: flushing, pruritus + rash (especially on face and scalp), redness and watering of eyes. * &;Flu syndrome&;: with chills, fever, headache, malaise and bone pain. * &;Abdominal syndrome&;: nausea, vomiting, abdominal cramps with or without diarrhoea. Urine and secretions may become orange-red but this is harmless. ESSENTIALS OF MEDICAL PHARMACOLOGY K.D.TRIPATHI SIXTH EDITION PAGE NO:741,742",A
Cold haemagglutinin is associated with-,Anti Ig M,Anti Ig G,Anti Ig A,Donath Landsteiner antibody,"The cold hemagglutinin antibody titre is very high at 4 degree centigrade and very low at 37 degree centigrade which is confirmed by donath landsteiner test The Donath-Landsteiner test is a blood test to detect harmful antibodies related to a rare disorder called paroxysmal cold hemoglobinuria. These antibodies form and destroy red blood cells when the body is exposed to cold temperatures reference: textbook of Pathology, 7th edition ,author Harsha Mohan ,page number 289.",D
All of the following are peripherally acting muscle relaxants except,Dantrolene,Pancuronium,Succinyl choline,Baclofen,Baclofen is a GABA - B agonist that acts centrally to produce muscle relaxation.,D
Gene associated with medullary carcinoma of thyroid is?,RAS,RET,p53,MET,"ANSWER: (B) RETREF: Schwartz's Principles of Surgery 9th edition chapter 38, Sabiston 18th ed chapter 36",B
"Which of the following is the indication for using phenyl-substituted prostaglandin F2 alpha, Latanoprost:",Maintenance of ductus aeriosus,Pulmonary hypeension,Gastric mucosal protection,Glaucoma,"Latanoprost is a derivative of PGF2 alpha that reduces intraocular pressure (IOP) by increasing uveoscleral outflow without effects on aqueous flow. It is indicated in reduction of elevated IOP in patients with open angle glaucoma, ocular hypeension and capsular glaucoma. The only apparent side effect is darkening of the pigment of the eyes, such as hazel, that are made up of multiple colors. Ref: Clinical Ophthalmology: Contemporary Perspectives By Gupta, 2009, Page 80; Desk Reference of Clinical Pharmacology, Second Edition By Manuchair S. Ebadi, 2008, Page 381; Goodman and Gillman's 11th edition, Page 1103.",D
All of the following are true about toxic megacolon EXCEPT: March 2013 (g),Carries significant risk of perforation,Consistent feature of Crohn's disease,Colonic dilatation,Colectomy may be required,"Ans. B i.e. Consistent feature of Crohn's disease In cases of ulcerative colitis, inflammation and inflammatory mediators can damage the muscularis propria and neuromuscular function leading to colonic dilation and toxic megacolon.",B
sho acting acting beta 2 agonist,Formoterol,Isoprenaline,Salbutamol,salmeterol,"sho-acting beta2 agonists- salbutamol., terbutaline, pirbuterol long-acting- salmeterol, formoterol, clenbuterol ref kd Tripathi 8th ed",C
Following is true about frusemide,It is given only by IV route,It causes mild diuresis,It is used in pulmonary edema,Acts on PCT,"Ans is 'c' i.e. It is used in pulmonary edema Loop diuretics are used in all types of edema because of their diuretic effect But when frusemide is given i.v. in acute pulmonary edema it acts by vasodilator action that preceedes diuretic action.Intravenous furosemide causes prompt increase in systemic venous capacitance and decreases left ventricular filling pressure even before the diuretic response is apparent. This is responsible for the quick relief it affords in the left ventricular failure and pulmonary edema.Frusemide acts on the thick portion of the ascending limb of the loop of Henle where Frusemide inhibits Na+, K+-2Cl- cotransport.It is a orally and rapidly acting highly efficacious diuretic.Its maximal natriuretic effect is much greater than that of other classes of diuretics.The diuretic response goes on increasing with increasing dose i.e. they have a high 'ceiling' of effect. Indeed they are so efficacious that overtreatment can dehydrate the patient.It is given i.v. only in case of acute pulmonary edema.",C
"A 19-year-old man with a history of recent-onset asthma presents with chest pain, intermittent claudication and respiratory distress that is unresponsive to bronchodilators and antibiotics. Physical examination reveals mild hypeension (blood pressure = 150/100 mm Hg), bilateral wheezing and numerous purpuric skin lesions on the feet. Laboratory studies demonstrate that leukocytes are increased to 14,000/mL with increased eosinophils and platelets are increased to 450,000/mL. BUN is elevated to 30 mg/dL, and serum creatinine is elevated to 3.5 mg/dL. The serum antineutrophil cytoplasmic antibody test is positive. Urinalysis discloses 3+ proteinuria and RBCs. A renal biopsy demonstrates vasculitis of medium-sized aeries, accompanied by eosinophilia. Which of the following is the most likely diagnosis?",Churg-Strauss disease,Henoch-Schonlein purpura,Loeffler syndrome,Wegener granulomatosis,"Churg-Strauss disease is an idiopathic, systemic, granulomatous disease of small- and medium-size aeries characterized by vasculitis of many organs, fluctuating eosinophilia and late-onset asthma. The majority of patients display antineutrophil cytoplasmic antibodies. The disease is also known as allergic granulomatosis and angiitis. Transbronchial lung biopsy shows granulomatous lesions in vascular and extravascular sites, accompanied by intense eosinophilia. The vasculitis histologically resembles the lesions of polyaeritis nodosa and Wegener granulomatosis, but these diseases do not typically present with an asthmatic syndrome.",A
Comparison of efficacy of a new drug B with an existing drug A is done in which phase of clinical trials ?,Phase I,Phase II,Phase III,Phase IV,'The purpose of phase III trials is to obtain adequate data about the efficacy and safety of drugs in a larger number of patients of either sex in multiple centres usually in comparison with the standard drug.',C
Cytogenetics for synol cell sarcoma is -,t (X : 18),"t (17, 9)","t (9, 22)","t(11,14)","Ans. is 'a' i.e., t (X:18) Synol cell Sarcoma (SCS) Synol cell sarcoma forms about 10% of all soft tissue sarcomas. o Although the name suggests an origin from the synol linings, less than 10% of them are intra-aicular. o Most synol sarcomas show a characteristic chromosomal translocation t (X : 18) producing SYT-SS X1 or-SS X 2 fusion genes.The specific translocation is associated with poor prognosis 60-70% of SCS involve the lower extremities especially around knee and thigh. o Histologic hallmark of biphasic synol sarcoma is the dual lining of differentiation of the tumor cells (eg. epitheliat like and spindle cells) o Calcified concrections can be present on X-rays. o This tumor is positive for i) Keratin ii) Epithelial membrane antigen.",A
What is hyperplasia,Decrease in cell size,Increase in cell size,Increase in cell number,Decrease in cell number,"Physiological adaptive responses include: 
◆ Hypertrophy - increase in cell size 
◆ Hyperplasia - increase in the number of cells 
◆ Atrophy - decrease in cell size and number
◆ Metaplasia - reversible replacement of one cell type by another differentiated cell type
 Hyperplasia is common in cells capable of replication namely labile cells / stable cells or stem cells",C
Which of the following is true of propylthiouracil?,It is used in the treatment of myxedema,It has a long half-life in the circulation,It increases proteolysis of thyroglobulin,It blocks thyroxine synthesis,"Ans. is 'd' i.e., It blocks thyroxine synthesis o Propylthiouracil blocks thyroxine synthesis by inhibiting thyroid peroxidase, and preventing oxidation of iodide/ iodotyrosyl residues, there by Inhibit iodination of tyrosine residue in thyroglobulin. Inhibit coupling of MIT and DIT to form T3 & T4. o Propylthiouracil also inhibit the peripheral conversion of T4 to T3. About other options o It is a hypothyroid drug, cannot be used in myxedema (hypothyroidism). It has a sho VA - 1-2 hours. It does not increase proteolysis of thyroxine.",D
The most common side effect of cancer chemotherapy is nausea with or without vomiting. The anticancer drugs vary in their ability to cause nausea and vomiting. Which of the following anti- cancer drugs is least likely to cause nausea and vomiting?,Chlorambucil,Cisplatin,Doxorubicin,Daunorubicin,"Chlorambucil It is a very slow acting alkylating agent, especially active on lymphoid tissue: Myeloid tissue is largely spared. It is the drug of choice for long-term maintenance therapy for chronic lymphatic leukaemia; Hodgkin&;s disease and some solid tumours also resolve. It has some immunosuppressant propey. >10% Neutropenia (25-33%) Anemia Leukopenia Thrombocytopenia Frequency Not Defined Seizures Hallucinations Peripheral neuropathy Nausea Vomiting Pulmonary fibrosis GI effects Leukemia Myelosuppression Hyperuricemia Infeility Hepatotoxicity & jaundice Type I hypersensitivity Rash Stevens-Johnson syndrome (rare) Toxic epidermal necrosis (rare) Uicaria Erythema multiforme (rare) Secondary malignancies. REFERENCE: www.medscape.com,ESSENTIALS OF MEDICAL PHARMACOLOGY (K.D.TRIPATHI, SIXTH EDITION, PAGE NO:822)",A
Which is a method to map genes located on a particular locus in a chromosome?,Genomic imprinting,Segregation analysis,Genome wide analysis,Linkage analysis,"Linkage analysis is a genetic technique that searches for chromosomal segments that co-segregate with the disease phenotype through families and is the analysis technique that has been used to identify the bulk of lipodystrophy genes.
Genomic imprinting is an inheritance process independent of the classical Mendelian inheritance. It is an epigenetic process that involves DNA methylation and histone methylation without altering the genetic sequence.
Segregation analysis is a statistical technique that attempts to determine if the pattern of phenotypes within families is consistent with the transmission of a major gene for that phenotype.
A genome-wide association study (GWAS) is an approach used in genetics research to associate specific genetic variations with particular diseases. The method involves scanning the genomes from many different people and looking for genetic markers that can be used to predict the presence of a disease.",D
MC valve involved in Rheumatic fever ?,Mitral,Aoic,Pulmonary,Tricuspid,"Ans. is 'a' i.e., Mitral Mitral valve is involved most commonly. o RHD is the most common cause of mitral stenosis.",A
Which drug doesn't include DMARD -,Chloroquine,BAL,Azathioprine,Leflunomide,"Ans. is 'b' i.e., BAL Drugs used for Rrheumatoid arthritisDisease modifying antirheumatic drugs DMARDs)Biologic response modifier (BRMs)Adjuvant drugs1. Immunosuppresants - Methotrexate, azathioprine, cyclosporineo TNF a - inhibitors Etanercept, Infliximab, Adalimumabo Corticosteroids o NSAIDs2. Sulfasalazine 3. Choloroquine or hydroxychloroquineo IL-1 antagonist Anakinra4. Leflunomide5. Gold, sod. thiomalate, Auranofin 6. d - Penicillamine",B
Secondary pulmonary tuberculosis usually involves:March 2012,Base of lungs,Apex of lungs,Middle lobes,Lower lobes,"Ans: B i.e. Apex of lungsSecondary pulmonary TB classically involves the apex of the upper lobes of one or both the lungsProgressive primary TB more often resembles an acute bacterial pneumonia, with lower and middle lobe consolidation, hilar adenopathy, and pleural effusion; cavitation is rare.",B
"Gynaecomastia is side effect of all, EXCEPT :",Ranitidine,Cimetidine,Spironolactone,Ketoconazole,"Ans. is 'a' i.e. Ranitidine You must have noticed till now the number of repetitions this topic has, so learn the drugs causing gynecomastia well.",A
'Coronary steal' phenomenon is seen with?,Verapamil,Diltiazem,Nicorandil,Dipyridamole,"Ans. d (Dipyridamole) (Ref. KDT, Pharmacology, 6th/pg.534)DIPYRIDAMOLE dilates resistant coronary vessels and diverts blood from ischemic zone to non-ischemic zone leading to 'coronary steal phenomenon.' In patients with suspected ischemic heart disease, Dipyridamole or adenosine can be given to create a coronary 'steal' by temporarily increasing flow in nondiseased segments of the coronary vasculature at the expense of diseased segments. Alternatively, a graded incremental infusion of dobutamlne may be administered to increase MV02. The development of a transient perfusion defect with a tracer such as radioactive thallium or 99rnTc sestamibi is used to detect myocardial ischemia.Educational points:# Dipyridamole, Adenosine,Isoflurane =>Coronary steal phenomenon# 1st part of subclavian artery obstruction =>Subclavian steal phenomenon & it is most common site of steosis# Cord A-Malformation =>Spinal cord steal syndrome# New Drugs in Angina =>Trimetazidine and Ronalazine Inhibit fatty acid oxidation pathway# Dipyridamole =>Antianginal having anti-platelet action & Coronary steal# Ranolazine =>Antianginal which blocks I Na current channel# Cilostazol (phosphodiesterase inhibitor) =>Antihypertensive drug with Anti-platelet aggregator + vasodilator effect",D
"Microdeletion leading to instability of DNA, causing the cell to undergo degeneration is seen as a marker in which of the following cancer?",Medullary carcinoma of thyroid,Small cell lung cancer,Gastric lymphoma,Colon carcinoma,Microsatellite instability is due to impaired DNA missmatch repair. It is associated with many malignancies but colon cancer has highest association.,D
Councilman bodies are seen in-,Alcoholic cirrhosis,Wilson's disease,Acute viral hepatitis,Autoimmune hepatitis,"Ans. (c) Acute viral hepatitis(Ref: Robbins 9th/pg 837)Councilman bodies: are intensely eosinophilic apoptotic hepatocytes with pyknotic nucleus, seen in acute viral hepatitis",C
Which of the following patient characteristics is a possible reason for the use of celecoxib in the treatment of ahritis?,History of severe rash after treatment with a sulfonamide antibiotic,History of gout,History of peptic ulcer disease,History of type 2 DM,Therefore history of peptic ulcer is a possible reason for use of celecoxib.,C
