Question,A,B,C,D,Explanation,Answer
"Hypochloremia, hypokalemia and alkalosis are seen in?",Congenital hyperophic pyloric stenosis,Hirschsprung's disease.,Esophageal atresia,Jejunal atresia,Ans is 'a' i.e. Congenital hyperophic pyloric stenosis Biochemical abnormality in congenital hyperophic pyloric stenosis is a regular feature of AIIMS and AI examinations it has been repeated several times. The biochemical abnormalities seen are: ( I ) Hypokalemia (3) Alkalosis and (2) Hypochloremia (4) Paradoxical aciduria,A
Local anaesthetics act on,Inactivated voltage gated sodium channels,Inactivated ligand gated potassium channels,Resting ligand gated potassium channels,Resting voltage gated sodium channels,"Local anaesthetics act on open state > inactivated state > resting state, votage gated sodium channels.",A
Which of the following causes Adynamic intestinal obstruction?,Gall stones,Bands,Intussusception,Paralytic ileus,"Ans: D (Paralytic ileus) Ref: The Washington Manual of Surgery, 6th edition, Bailey and Love's Short Practice of Surgery 25th Edition & Schwartz's Principles of Surgery, 9th EditionExplanation:Intestinal obstructionDefn: Lack of transit of intestinal contentsClassification according to pathology Dynamic: Where peristalsis is working against a mechanical obstructionAdynamic: Where there is absence of peristalsis without obstructionAbsent peristalsis (eg: Paralytic ileus)Non-propulsive form (ef: Mesenteric vascular occlusion. Pseudo-obstruction)Causes of Dynamic Intestinal ObstructionIntraluminal causesImpacted stoolsForeign bodiesBezoarsGall stonesAscariasisMeconium ileusIntramural causesAtresiaInflammatory stricture - TB, Crohn's diseaseMalignant stricture - Ca Colon, GISTExtramural causesIntraperitoneal bands and adhesionsHerniaVolvulusIntussusception",D
Treatment of choice of small preputial Penile carcinoma is,Total Penectomy,Partial Penectomy,Wide excision,Emasculation,Wide local excision with 2 cm margin is done for small preputial penile carcinoma.,C
Which organ that is commonly involved in a stab injury to the abdomen is which of the following?,Small intestine,Spleen,Kidney,Bladder,"The organs most commonly injured with anterior abdominal stab wounds are the small bowel, the liver, and the colon. Abdominal stab wound exploration is indicated in a patient who presents with a stab wound to the anterior abdomen, normal vital signs, no signs of peritonitis, and no evidence of evisceration. Abdominal stab wound exploration is contraindicated if immediate laparotomy is indicated. The situations in which immediate laparotomy is indicated include, unstable patient, peritonitis, evisceration, blood on rectal examination or blood in nasogastric tube aspirate suggests intra-abdominal injury.",A
Pancreatic carcinoma most common variety is:,Adenocarcinoma,Neuroendocrine tumour,Mucous secreting tumour,Acinar cell cystadenocarcinoma,"Ans: a (Adenocarcinoma) Ref: Bailey & Love, 24th ed, p. 1128More than 85% of pancreatic carcinoma are duct cell adenocarcinoma.Prolonged natural history - CystadenocarcinomaIncreased survival after resection - Ampullary tumour, neuroendocrine tumourStart as a benign tumour and progress after years into an aggressive malignant lesionMen and women have equal occurrence.}- Intraductal, papillary mucous secreting tumour.Neoplasms of pancreas are of two types1. Those arising from endocrine pancreas i.e., islet cells2. Those arising from exocrine pancreas i.e., ducts and aciniFunctional pancreatic endocrine tumours* Insulinoma - From 6 cells (produce insulin & symptoms of hypoglycemia)* Gastrinoma - From G cells (produce gastrin & Zollinger Ellison syndrome)* Glucagonoma - Arise from a cells & produce glycogen & hyperglycaemia* Somatostatinoma - Arise trom a or D cells* VIPoma* GRFomas & many othersBRIDGEPassaro's triangle - about 70-90% of gastrinoma are located within this triangle 3 points making the Passaro's triangle:- Junction of cystic duct and CBD- Junction of 2nd and 3rd portion of duodenum- Junction of neck and body of pancreasWhipple triad (Insulinoma)* Signs & symptoms of hypoglycaemia during fasting* Relief of symptoms by intravenous administration of glucose* Blood glucose below 2.8 mmol/1 (50 mg/dl) during symptomatic episodesTreatment of Ca head of pancreasWhipple resection",A
Heller's operation done for -,Diffuse oesophageal spasm,Hypertrophic pyloric stenosis,Achalasia cardia,Hiatus hernia,"Ans. is 'c' i.e., Achalasia cardia Treatment of Achalasiao The aim of treatment is to be relieve the functional obstruction at the cardiao The two main methods to achieve this are:1. Forceful dilatation or2. Esophageal myotomy (Heller's myotomy) with or without an antireflux procedure.1)Forceful dilatation (pneumatic dilatation)The aim is to weaken or rupture the circular muscle fibres of the LES by forceful stretch.Perforation and bleeding are potential complications.2)Extram ucosal cardiomyotomy (Heller \ myotomy)This involves surgical division of the muscle fibres of the lower esophageal sphincter.This procedure can be performed through a laparoscopic or thoracoscopic approach (Open surgical procedure i.e. Laparotomy or thoractomy can also be done, but the videoscopic procedure is better).Major complication is gastro-esophageal reflux.Partial fundoplication is done to prevent reflux.''Modified laparoscopic Heller myotomy is the operation of choice ' ____SabistonOther methods of treatmentDrugso Nitrates and calcium channel bockers can be used, but are ineffective for long term use. They can be used for transient relief of symptoms,o Botulinum toxino Botulinum toxin is given by endoscopic injection into the LES. It reduces LES pressure by blocking the cholinergic excitatory nerves in the sphinctero Its effect is only short-lived and repeated injections have to be give.o Used only in patients unfit for surgery and pneumatic dilatation.",C
Treatment of choice in peptic ulcer grade III is,Vagotomy only,Vagotomy and antrectomy,Vagotomy and pyloroplasty,Highly selective vagotomy,"Treatment for peptic ulcer includes, * Correction of dehydration and electrolytes by IV fluids--normal saline or double strength saline, calcium, potassium, magnesium. * Blood transfusion is given if there is anaemia. * TPN suppo. * Stomach wash to clean the stomach contents (using normal saline) is given using stomach tube like Oswald&;s. It also reduces the oedema of stomach wall and improves gastric emptying time by increasing the gastric muscle tone. * Surgery - Truncal vagotomy along with gastrojejunostomy of Mayo (posterior, veical, sho loop, retrocolic, is peristalsis) is done - Ideal. - Vagotomy, antrectomy (acid-secreting area) with Billroth I anastomosis along with feeding jejunostomy for nutrition is the other option. Ref: SRB&;s manual of surgery,3 rd ed, pg no 761",B
True statement regarding 'Fistula in ano' is:,Posterior fistulae have straight tracks,High fistulae can be operated with no fear of incontinence,High and low divisions are made in relation to the pelvic floor,Intersphincteric is the most common type,"Intersphincteric fistula is the most common type of 'fistula in ano'. Ref: Bailey and Love's Sho Practice of Surgery, 25th Edition, Page 1263.",D
The following statements about Bupivacaine are true except:,More cardio toxic than Lignocaine,0.25 percent is effective for sensory block,Long acting drug,It produces methaemoglobinaemia,"Methaemoglobinaemia is caused by prilocaine and benzocaine Prilocaine is the only local anesthetic that is metabolized to o -toluidine, which conves hemoglobin to methemoglobin producing methemoglobinemia. This is usually significant with doses of prilocaine as large as 600mg. Benzocaine used in topical local anesthetic sprays can also cause dangerous Methemoglobinemia. Treatment of medically impoant methemoglobinemia includes intravenous methylene blue (1-2 mg/kg of a 1% solution over 5 min). Methylene blue acts by reducing methemoglobin (Fe 3+ ) to hemoglobin (Fe 2+ ).",D
Lord's and Jaboulay's operation is done for,Rectal prolapse,Fistula in ano,Inguinal hernia,Hydrocele,"These operations are done for hydrocele .Lord's operation or plication is suitable when the sac is small, thin walled and contains clear fluid. Here tunica is bunched into a 'ruff' at its attachment to the testis by using a series of multiple interrupted chromic catgut sutures to plicate the redundant tunica vaginalis, so as to make the sac to form fibrous tissue. Jaboulay's procedure - Eversion of the sac following paial excision with placement of the testis in a pouch prepared by dissection in the fascial planes of the scrotum.Reference : page 1072 SRB's manual of surgery 5th edition and page 1382 Bailey and Love's sho practice of surgery 25th edition",D
Most potent bronchodilator among inhalational anesthetic agents is,Isoflurane,Sevoflurane,Halothane,Desflurane,"Effect of inhalational agents on respiratory systemAll inhalational agents are bronchodilators -Halothane cause maximum bronchodilatation. The inhalational agent of choice in asthmatics (intravenous anaesthtic of choice is ketamine).All inhalational agents cause respiratory depression to some extent - Maximum depression of respiration is seen with enflurane, on the other hand, maximum inhibition of ventilator response to increased CO2 and hypoxia is caused by halothaneAll inhalational agents vasodilate pulmonary vascular bed by blunting the hypoxic pulmonary vasoconstriction (HPV) response. Halothane has maximum effect: Isoflurane, Enflurane, desflurane, sevoflurane have similar effect.(Refer: Morgan and Mikhail's Clinical Anaesthesiology, 5th edition, pg no. 167 - 169)",C
This is which circuit:-,Magill,Bain,Lack,Humprey,"Baincircuit is a coaxial modification of the Mapleson D circuit. It consists of a fresh gas flow inlet, a narrow inner tube, a corrugated outer tube, a reservoir (breathing) bag, an adjustable pressure limiting valve and a facemask at the patient end. Itdoes nothave aCarbon dioxide absorberunlike the circle breathing systems. Rebreathing of carbon dioxide is prevented by an adequate fresh gas flow and by the presence of adjustable pressure release valve. The exhaled carbon dioxide flows through the outer corrugated tube and out this valve from where it can be scavenged. The fresh gas flows through the inner tube. When anesthetic gas inflow is much greater than the uptake by the patient and the circuit, excess pressure builds up, which leads to the opening of the adjustable pressure valve and expelling out of the gases.",B
"A women of 35-years, comes to emergency depament with symptoms of pain in abdomen and bilious vomiting but no distension of bowel. Abdominal X-ray showed no air fluid levels. Diagnosis is",CA rectum,Duodenal obstruction,Adynamic ileus,Pseudo-obstruction,"Abdominal pain, bilious vomiting without abdominal distention is suggestive of proximal small intestinal obstruction, distal to ampulla of Vater (Duodenal obstruction) Nausea and vomiting are more common with proximal obstruction Abdominal distention is more common in distal obstruction",B
Commonest site for ischemic colitis is -,Hepatic flexure,Splenic flexure,Descending colon,Ascending colon,"Ans is 'b' ie. Splenic flexure 'Although splenic flexure is the most common site of ischemic colitis, any segment of colon may be affected. The rectum is relatively spared because of its rich collateral circulation.'",B
In patients with hyperophic cardiomyopathy maximum mutations are found in which gene:,. b - myosin heavy chain,Elastin,. a - tropomyosin,Troponin T,b - Myosin heavy chain Mutations in gene for b - Mysoin heavy chain are associated with 40% of the families with hyperophic cardiomyopathy. Troponin T mutations - 15% of the families a - tropomyosin mutations ~5% of the families,A
Buschke Lowentein tumour is,Condyloma lata,Molluscan contagious,Benign lesion of penis,Verrucous carcinoma of penis,"Buschke Lowentein tumour :

it is locally invasive cancer.
Histological pattern is similar to verrucous cancer.",D
Which among the following type of Hodgkin's Lymphoma has better prognosis,Nodular sclerosis,Lymphocytic predominance,Mixed cellularity,Lymphocytic depletion,Lymphocytic predominant Hodgkin's Lymphoma has better prognosis.,B
"In a 2 months old infant undergoing surgery for biliary atresia, you would avoid one of the following anaesthetic",Thiopentone,Halothane,Propofol.,Sevoflurane,"B i.e. Halothane Among all these options only halothane is hepatotoxic so it should be avoided Lets revise some impoant facts. All coagulation factors with exception of factor VIII (8) & von wille brand factor are produced by liverQ Vit K is necessary for synthesis of prothrombin (factor II) and factor VII, IX and XQ. PT is normally 11-14 seconds, mesures the activity of fibrinogen, prothrombin and factors, V, VII, and XQ All opioids cause spasm of sphincter of oddi & increase biliary pressure Halothane hepatitis is more common in middle age, obese, female sex, and a repeated exposure (esp with in 28 days)",B
"A Central midline neck swelling is noted in a 4 yr old girl posted for tonsillectomy. The swelling is, painless. mobile, and cystic, just below the hyoid bone of size 2x1.1x1cm. U/S showed a thick walled cystic lesion. Management would include",Surgical removal,Antibiotics,Percutaneous aspiration,Chest X-ray,"Mid line cystic swelling, mostly just below hyoid is thyroglossal cyst. Treatment is surgical removal (Sistrunk operation).",A
"About Ectopia vesicae, following is true except ?",CA bladder may occur,Ventral curvature of penis,Incontinence of urine,Visible uretero - vesical efflux,Answer is 'b' i.e. Ventral curvature of penis Ectopia vesicae is associated with epispadias in which dorsal or upwards curvatuve of penis is noted. Ventral curvature is noted in hypospadias.,B
Van Buchem's syndrome is characterized by all except,Overgrowth,Distrotion of mandible,Facial Palsy,Increased acid phosphatase,"Ans. is 'b' i.e., Distoion of mandible Van Buchem's disease is a rare hereditary disorder of the skeletal system that is characterized by progressive osteosclerosis paicularly in the skull & mandible. Consequence of increased bone mass usually include facial distoions and compression of cranial nerves (which may lead to deafness & blindness).",B
"An ulcero-proliferative lesion in the antrum of the stomach 6 cm is diameter, invading the serosa, with 10 enlarged lymph nodes around the pylorus with no distant metastasis, the TNM staging is",T2 N1 M0,T3 N2 M0,T4 N1 M0,T1 N3 M0,"TNM Staging of Carcinoma Stomach T: A primary tumour *T0: No evidence of a primary tumour *Tis: Carcinoma in situ *T1: Invasion of lamina propria or submucosa T2: Invasion of muscularis propria or subserosa *T3: Penetration of serosa *T4: Invasion of adjacent structures N: Lymph Nodes N0: No regional lymph nodes *N1: Involvement of perigastric nodes within 3 cm of a tumour (1-6 nodes) *N2: Involvement of perigastric nodes more than 3 cm or involvement of left gastric, splenic, coeliac or hepatic nodes (7-15 nodes) *N3: > 15 nodes M: Metastasis M0: No distant metastasis M1: Distant metastasis present Ref: SRB&;s manual of surgery,3 rd ed, pg no 783",B
In hand surgery which area is called no man's land,Proximal phalanx,Distal phalanx,Between distal phalanx crease and proximal phalanx,Wrist,C i.e. Between the distal phalanx crease and proximal phalanx,C
"Blunt trauma to right side of chest, hyperresonation on right side on auscultation, dyspnea, tachypnea. Hea rate-140, BP-90/60, next step is",Chest Xray,IV fluids,O2 inhalation,MRI,"Hemothorax Causes: Trauma (MC), Tumor, Tuberculosis Massive hemothorax is usually the result of major pulmonary vascular injuries or major aerial wounds while minor injuries can cause small hemothorax Diagnosis Diagnosis is made by needle aspiration of pleural fluid Chest X-Ray : To assess the presence and extent of pleural cavity collection A supine position with horizontal X-Ray beam (Decubitus position) is better than erect film, as about 400-500 ml of blood may be hidden by diaphragm on upright chest X-Ray Ref: Bailey and love 27th edition Pgno : 366",A
Spontaneous CSF leak occurs in all except aEUR',Increased intracranial tension,Paial or complete empty sella syndrome,Pseudotumour cerebri,Low risk encephalocoele,"Increased intracranial tension ???? We are not sure of the answer.We have gone for increased intracranial tension because spontaneous C.S.F. leak is associated with intracranial hypotension. Increased intracranial tension is not associated with spontaneous C.S.F. leak. All other options mentioned in the question are associated with spontaneous C.S.F. leak. Pseudotumor Cerebri Pseudotumour cerebri usually presents with triad of headache, papilledema and minimal or absent focal neurological signs, but rarely, the presenting feature may be a nasal C.S.F. leak. Empty sella syndrome In empty sella syndrome, the sella turcica (the bony structure which contains pituitary enlarges). In this disease there is a defect in tissue barrier that normally keeps the cerebrospinal fluid around the brain separate from the sella turcica. As a result cerebrospinal fluid puts increased pressure on the pituitary glands and the walls of the sella turcica. The sella turcica enlarges and the pituitary shrinks. The empty sella syndrome may produce no symptoms at all and seldom produces serious symptom. About half of those affected have headaches. In rare cases there is leaking of the cerebrospinal fluid from the nose. Encephathcele Encephalocele may present with C.S.F. leak. More on spontaneous C.S.F. leak or spontaneous intracranial hypotension Spontaneous intracranial hypotension is a condition where patient gets postural headache due to leak of the crebrospinal fluid in the spinal membrane. What happens is that the leak causes low C.S.F. pressure within the nervous system and thus causes a string of headache to the patient. The problem with SIH is that it is hard to diagnose and there is not a great deal of information on why it occurs. It has been associated with connective tissue diseases which may involve the dura causing tear in it. To summarize it, spontaneous C.S.F. leak is very rare and unlike other causes it does not occur due to any specific traumatic event or surgical procedure in the nervous system. Although there is not much information on the possible causes of C.S.F. leak, it is suspected that an intrinsic weakness of the spinal membrane or an abnormality of the brain structure causes the rare condition. The symptoms of 51H are so small and so common that it can often be misdiagnosed.",A
M. C. anterior mediastinum tumor is,Thymoma,Neurogenic Fibroma,Lymphoma,Meningocele,Ans is 'a' ie Thymoma RememberMost common mediastinal mass-Neurogenic tumorsMost common Ant. mediastinal mass-ThymomaMost common Middle mediastinal mass-Bronchogenic & pleuropericardial cystsMost common Posterior mediastinal mass-Neurogenic tumorMost common malignant mass of mediastinum-LymphomasMost common mediastinal mass in children-Neurogenic tumor,A
Askanazy cells are microscopic findings in,De Quervain's thyroiditis,Riedel's thyroiditis,Hashimoto’s thyroiditis,None of the above,"HASHIMOTO'S THYROIDITIS (Struma Lymphomatosa) 

Also called as diffuse non-goitrous thyroiditis. 
It is an autoimmune thyroiditis—common in women (15 times more common). 
There is hyperplasia initially, then fibrosis, eventually infiltration with plasma cells and lymphocytic cells. 
Askanazy cells are typical (like Hurthle cells). 
The river Struma arises in Bulgaria and flows into Aegean Sea. 
Struma means goitre. Banks of this river are endemic area for goitre. 

Key Concept:

Hashimoto’s thyroiditis is an autoimmune thyroiditis—common in women (15 times more common).
There is hyperplasia initially, then fibrosis, eventually infiltration with plasma cells and lymphocytic cells. Askanazy cells are typical (like Hurthle cells).

​Reference: SRB's Manual of Surgery, 5th ed, page no 436",C
"All of the following are complications of an undescended testis EXCEPT: March 2013 (a, e, g)",Torsion,Hydrocoele,Trauma,Malignant change,"Ans. B i.e. Hydrocoele Incomplete descent of testes Complication: Malignant change (even if the testes have been brought down surgically), Best time to operate: 9-15 months of age",B
"Viscera, forms a wall in which of the following hernia: March 2011",Lumbar hernia,Sliding hernia,Epigastric hernia,Femoral hernia,"Ans. B: Sliding herni As a result of slipping of the posterior parietal peritoneum on the underlying retroperitoneal structures, the posterior wall of the sac is not formed of peritoneum alone, but by the sigmoid colon and its mesentry on the left, the caecum on the right and, sometimes, on either side by a poion of the bladder Hernia: Richter's hernia: contains a poion of the circumference of the intestine Littre's hernia: contains Meckel's diveiculum Morgagni's hernia: Hernia between costal and sternal pas of diaphragm Spigelian hernia: -- interparietal - usually subumbilical hernia - at the level of arcuate line, which lies below umbilicus - lies lateral to rectus abdominis Maydl's hernia: Strangulated loops of bowel like W in abdomen Femoral hernia is more common in: Women Femoral hernia strangulates commonly Inguinal hernia is common in: Right side",B
To which category will you classify this wound?,Bites,Puncture wounds,Hematoma,Degloving,"Ans. (d) Degloving.Degloving occurs when the skin and subcutaneous fat are stripped by avulsion from its underlying fascia, leaving neurovascular structures, tendon or bone exposed. A degloving injury may be open or closed. Examination under anesthetic is required with a radical excision of all non-bleeding skin, as judged by bleeding dermis.Image source- style='font-family: Times New Roman, Times, serif'>",D
Sq. cell tumor of urinary bladder is due to ?,Stone,Schistosomiasis,Chr. cystitis,All,Answer is 'a' i.e. Stone 'b' i.e. Schistosomiasis & 'c' i.e. Chronic cystitis,D
Local anaesthesia causing methemoglobinemia ?,Procaine,Prilocaine,Etodicaine,Ropivacaine,"Ans. is 'b' i.e., Prilocaine Prilocaine and benzocaine can cause methemoglobinemia. Impoant facts Chlorprocaine is the shoest acting LA. Dibucaine is the longest acting, most potent and most toxic LA. Bupivacaine is the most cardiotoxic LA (Ropivacaine is a newer bupivacaine congener with less cardiotoxicity). o Levobupivacaine (The S (-) enantiomer of bupivacaine) is less cardiotoxic and less prone to cause seizure. o Prilocaine can cause Met haemoglobinemia. Lignocaine is the most commonly used LA. Bupivacaine has the highest local tissue irritancy. Chlorprocaine is contraindicated in spinal anaesthesia as it can cause paraplegia due to presence of neurotoxic preservative sodium metabisulphite. Procaine is the LA of choice in malignant hypehermia",B
Which of the following is most suggestive of neonatal small bowel obstruction -,Generalized abdominal distension,Failure to pass meconeum in the first 24 hours,Bilious vomiting,Refusal of feeds,"Generalized abdominal distention is more indicative of large bowel obstruction. In small bowel obstruction the distention is mild to massive depending on the site of obstruction (minimal or absent in proximal & mild to massive in distal) and is usually central and not generalized.
Failure to pass meconium in the first 24 hrs is a feature of obstruction as in Hirschprung's disease.
Refusal to feed is a common but nonspecific symptom.
The most common symptom suggestive of small bowel obstruction is bilious vomiting.",C
An ankle-brachial index (ABI) that suggests increased risk of myocardial infarction would be,<0.9,<0.6,>0.9,>0.6,"There is increasing interest in the use of the ankle-brachial index (ABI) to evaluate patients at risk for cardiovascular events. An ABI less than 0.9 correlates with increased risk of myocardial infarction and indicates significant, although perhaps asymptomatic, underlying peripheral vascular disease.",A
The circled part of given capnograph reflects,Inspiration,Alveolar air,Mixed air,Dead space air,This is phase 3 which represents only alveolar air.,B
Fibroblasts in healing wound are derived from -,Local mesenchyme,Epithelium,Endothelium,Vascular fibrosis,Fibroblasts are specialized cells that differentiate from resting mesenchyme cells in connective tissue. They do not arrive in the wound cleft by diapedesis from circulating cells.,A
