Question,A,B,C,D,Explanation,Answer
You are conducting an autopsy on a patient and you find the so-called ladder tears near the main lesion on a major blood vessel. What is the most likely cause of the injury and subsequent death of the person?,Rapid deceleration,Penetrating injury,Lightning strike,Strangulation,"The aoa may rupture as a result of sudden deceleration as in A. The aoic rupture is circular and clean cut and appears as if it was cut by a sharp knife. Sometimes multiple transverse internal tears adjacent to the main rupture is seen and these are called ladder tears. Ref: Textbook of Forensic Medicine by Narayana Reddy, Edition 20, Page 237",A
Cardiac rhythm seen with hyperkalemia is all except?,Sinus arrest,Sinus bradycardia,Ventricular fibrillation,Torsades de pointes,Cardiac arrhythmias associated with hyperkalemia are: Asystole Sinus bradycardia Sinus arrest Slow idioventricular rhythms Ventricular tachycardia Ventricular fibrillation,D
Number of new cases occurring in a defined population during a specified period of time is known as: March 2013,Prevalence,Incidence,Relative risk,Attributable risk,"Ans. B i.e. Incidence Incidence is a measure of the risk of developing some new condition within a specified period of time. Although sometimes loosely expressed simply as the number of new cases during some time period, it is better expressed as a propoion or a rate with a denominator.",B
At which level of heat stress index it is not possible to work comfoably causing threat to health:,20-40,40-60,60-80,80-100,"HEAT STRESS INDEX(HSI): HSI% Consequence of 8 hour exposure 0 No thermal strain 10-30 Mild-Moderate heat stress, Minimal impairement in work 40-60 Severe heat stress, Threat to health if not fit 70-90 Very severe heat stress, only few can sustain it 100 Maximum heat stress, only young fit acclimatized can sustain it >100 Varying degrees of stress due to hypehermia Ref: Park 25th edition Pgno: 784",B
"In Epidemic dropsy disease, toxin is:-",Ergot toxin,Sanguinarine,BOAA,Alkaloids,"Epidemic dropsy It is caused by contamination of mustard oil with 'Argemone oil'. Sanguinarine is the alkaloid toxin contained in argemone oil. The symptoms of epidemic dropsy consist of sudden,non-inflammatory, bilateral swelling of legs, often associated with diarrhoea, dyspnea, cardiac failure & death may follow. Some patients may develop glaucoma. The disease may occur at all ages except breast-fed infants. Moality varies from 5-50 per cent.",B
Normal body mass index is-,18.5 to 24.99,15 to 18,25.00 to 29.99,Greater than 30,"Commonly accepted BMI ranges are underweight: under 18.5 kg/m2, normal weight: 18.5 to 25, overweight: 25 to 30, obese: over 30. Ref Davidson 23rd edition pg 699",A
"A 75-year old woman with chronic atrial fibrillation presented to the hospital with a 2-day of colicky abdominal pain. The physical examination revealed hypoactive bowel sounds and diffuse abdominal tenderness. Laboratory tests showed a white cell count of 19,400 per cubic millimeter with 92% neutrophils, a blood urea nitrogen level of 42 mg per deciliter (15 p,mol per liter) and a serum creatinine level of 3.0 mg per deciliter (267 fimol per liter). The most probable diagnosis in this pateint would be-",Poal view thrombosis,Mesenteric ischemia,Intestinal perforation,Lynch syndrome,"Mesenteric ischemia is a medical condition in which injury to the small intestine occurs due to not enough blood supply. It can come on suddenly, known as acute mesenteric ischemia, or gradually, known as chronic mesenteric ischemia. Ref Davidson 23rd edition pg 915",B
Mucin clot test is done to detect-,Mucin in stool,Protein in CSF,Hyaluronate in Synol fluid,Protein in pleural fluid,"mucin clot test. A test of synol fluid precipitation in acetic acid, formerly used to determine whether inflammatory ahritis was present in a joint. Other tests have replaced it, such as the cell count, cultures, Gram stain, and crystal examination Also helps in detection of hyaluronic acid in synol fluid Ref Davidson 23rd edition pg 1015",C
The number of new cases occuring in a defind population during a specified period of time is called,Period prevalence,Point prevalence,Prevalence,Incidence,"Incidence is defined as the number of new cases occurring in a defined population during a specified period of time.incidence rate refers only to new cases,during a given period and also in a specified population or population at risk.ref:parks textbook of preventive and social medicine,22 nd edition,pg no 58",D
Which of the following is the most likely effect of insulin at the cellular receptor level?,stimulating tyrosine kinase,binding to ion channels,binding to intracellular erb A receptors,stimulating guanylate cyclase,"Insulin binding to its receptor stimulates tyrosine kinase activity. Other stimulators of protein kinases include platelet-derived growth factor and epidermal growth factor. Tyrosine phosphorylation results from this interaction. Insulin-resistant states can be caused by pre-receptor resistance (mutated insulin, anti-insulin antibodies) or receptor and post receptor resistance.",A
Aery involved in 3rd cranial nerve lesion?,Anterior communicating,Posterior communicating,Posterior cerebral,Anterior cerebral,"Harrison's textbook of internal medicine 17 th edition . *A third nerve past,paicularly when associated with pupillary dilatation ,loss of ipsilateral light reflex and focal pain above or behind the eye,may occur with an expanding aneurysm at the junction of posterior communicating aery and internal carotid aery .",C
Following are Hyperdynamic states EXCEPT:,Anemia,Thyrotoxicosis,A-V malformation,Liver disease,"Ans. d (Liver disease). (Ref. Harrison, Principles of Medicine, 18th/308)# Hyperdynamic states are fever, thyrotoxicosis, pregnancy and anemia.# They are characterized by sinus tachycardia, mid-systolic murmur in aortic position.# Liver disease is not a hyperdynamic state.",D
Tolvaptan is used in?,Hyponatremia,Hypernatremia,Nephrogenic diabetes insipidus,Decreased water clearance,"Selective vasopressin V2 -receptor antagonist: is indicated for Hypervolemic and euvolemic hyponatremia (i.e., serum sodium level < 125 mEq/L) or less marked hyponatremia that is symptomatic and has resisted correction with fluid restriction. It is used for hyponatremia associated with congestive hea failure, liver cirrhosis, and SIADH secretion. Initiate or re-initiate in hospital environment only. Selective Vasopressin V2-receptor antagonist: causes an increase in urine water excretion results in an increase in free water clearance (aquaresis), a decrease in urine Osmolality, and an increase in serum sodium concentration",A
All are characteristics of Antemortem wound except-,Gaping of wound,Infiltration of tissue and increased Serotonin,Presence of vital reaction,Chicken fat clot,"Gaping of the wound, presence of vital reaction and increased serotonin are features of the antemortem wound.
The chicken fat clot is seen in postmortem wound.",D
One mg. of Niacin is produced by.......................... mg. of Tryptophan-,22,37,55,60,"Ans. is 'd' i.e., 60 About 60 mg of tryptophan is required to result in I mg of niacin.",D
"In firearm injury, entry-wound blackening is due to :",Flame,Hot gases,Smoke,Unburned powder,C i.e. Smoke - The blackening of entery wound is due to fine carbon paicles in smokeQ. Grease (abrasion) collar is seen in firearm entry woundQ. - Bevelling of skull is seen in exit wound (point) of bulletQ.,C
An 80-year-old person has developed a PCA territory stroke. On ambulatory Holter he is found to be having atrial fibrillation. What calculation should be used to evaluate for renal insufficiency of the patient?,NIHSS score,ABCD2 score,CHADS2- VaSc score,Cockroft Gault formula,Option A: NIHSS Score- evaluation of stroke in a patient. Option B: ABCD2 score- Used in patient who have risk of stroke = In TIA Option C: There is always risk of embolic stroke in A. fibrillation so we prescribe anticoagulants to patient on the basis of CHADS2- VaSc score we make decision of Anticoagulation. Option D: Cockcroft Gault formula,D
Body mass index of Pre-obese is:-,<18.5,18.5-25,25-30,>30,Classification of adults according to BMI: Classification BMI Underweight < 18.50 Normal BMI 18.50-24.99 Overweight > 25 Pre-Obese 25-29.99 Obese Class 1 30.00 -34.99 Obese Class 2 35.00-39.99 Obese Class 3 > 40.00,C
Acute auto-graft rejection occurs within?,Few hours,< 1 month,< 6 months,6-12 months,Hypersensitivity reaction Time 1. Hyperacute II Minutes 2. Acute IV <6 months 3. Chronic IV >6 months,C
"An 34 year old male HIV patient on c-A presents with seizures, unilateral facial nerve palsy. CT scan shows ring enhancement lesion. Best treatment is:",Albendazole with dexamethasone,Amphotericin B,ATT with steroids,"Sulphadiazine, pyrimethamine and Leucovorin",Causes of seizures in HIV positive Pt: - HIV related encephalopathy Cerebral toxoplasmosis Neurocysticercosis CNS lymphoma Cerebral Toxoplasmosis MRI of cerebral toxoplasmosis showing 2 ring enhancing lesions- 'lighting up' with intravenous contrast Rx: sulfadiazine +pyrimethamine +Leucovorin Neurocysticercosis - Rx - Albendazole + Dexamethasone Toxoplasmosis Primary CNS Lymphoma Quantity Multiple Solitary Lab Markers T. gondii IgG antibody (nonspecific) Epstein -Barr Virus Size < 4 cm > 4 cm Location Basal Ganglia Periventricular Cerebral Edema +++ + Prognosis Favorable (w/Rx) Poor,D
Rigor mortis first seen in:,Eyelids,Heart,Limbs,Neck,"Ans. (B). Heart(Ref: Essentials of Forensic medicine, Dr KS narayana Reddy, 33th Edition, P:86)The Order of Appearance of Rigor: (Nysten's rule):It first appears in involuntary muscles; the myocardium becomes rigid in an hour,Then it develops in eyelids, neck and lower jaw and passes upwards to the muscles of the face, and downwards to the muscles of the chest, upper limbs, abdomen and lower limbs and lastly in the fingers and toes.",B
Which method is not used for autopsy -,Virchow,Rokitansky,Lettulle,Thomas,"Ans. is 'd' i.e., ThomasMethods of removal of organso Virchow's technique - organs are removed one by one. Crania] cavity is exposed first, followed by thoracic, cervical & abdominal organs.o Rokitansky rs technique - It involves in situ dissection in part, combined with en block removal,o Lettulle's technique - Cervical, thoracic, abdominal & pelvic organs are removed en masse & dissected as organ block.",D
Which of the following is not associated with peripheral neuropathy,Uicaria pigmentosa,Diabetes mellitus,Nitrofurantion,Infectious mononucleosis,Uicaria pigmentosa (also known as generalized eruption of cutaneous mastocytosis (childhood type) ) is the most common form of cutaneous mastocytosis. It is a rare disease caused by excessive numbers of mast cells in the skin that produce hives or lesions on the skin when irritated.not associated with peripheral neuropathy Ref Harrison20th edition pg 2478,A
Which of the following cause early onset of rigor mois?,Arsenic,Pneumonia,Hypothermia,Strychnine,"Strychnine causes early onset of rigor mois, the rest of the options causes delayed rigor mois.",D
Diseases caused by Chlamydia are all except -,LGV,Trachoma,Granuloma inguinale,Nonspecific cervicitis,"Granuloma inguinale is caused by Klebsiella granulomatis ,characterised by painless ulcers or hyperophic granulomatous lesions on genital region. Disease caused by Chlamydua include trachoma,LGV,cervicitis, urethritis, proctitis, psittacosis, atypical pneumonia. Reference Harrison20thedition pg 1123",C
Which of the following conditions does not have a National Screening/Control Programme?,Diabetes Mellitus,Dental caries,Refractive errors,Carcinoma cervix,Ans. is 'b' i.e. Dental caries o No National programme for oral health is under implementation. About other options o There is Pilot Programme for prevention & control of DM. CVD and deafness. o The National Programme for control of blindness includes screening for refractive errors. o Cervical cancer screening programme is working in India.,B
"A 42-year-old man is on amitriptyline for depression. Recently he has been feeling more lethargic and unwell. His clinical examination is normal. Serum sodium is 125 mEq/L and osmolality is 260 mOsm/kg, and urine sodium is 40 mEq/L and osmolality is 450 mOsm/kg.For the above patient with hyponatremia, select the most likely diagnosis.",congestive heart failure (CHF),extrarenal sodium and fluid losses,SIADH,polydipsia,"Amitriptyline is one of the psychoactive drugs that cause SIADH. Others include phenothiazines, serotonin reuptake inhibitors, and monoamine oxidase inhibitors (MAOIs). Antineoplastic drugs such as vincristine and cyclophosphamide also cause SIADH, as does the hypoglycemic agent chlorpropamide.",C
Loss of upward gaze (sun setting sign) is seen in ?,Perinaud syndrome,Weber syndrome,Millard gubler,Anton's syndrome,Perinaud syndrome: D/t compressive lesion of dorsal midbrain(Superior colliculus and Edinger Westphal nucleus)-->impaired motor function of the eye. Triad of perinaud syndrome: Upgaze paralysis Convergence retraction nystagmus Pupillary light-near dissociation. Anton's syndrome: Visual anosognosia associated with confabulation in the setting of obvious visual loss and coical blindness Due to B/L occlusion of distal branches of PCA. Weber's syndrome: Presence of an ipsilateral oculomotor nerve palsy and contralateral hemiparesis or hemiplegia Due to occlusion of P1 PCA Millard Gubler syndrome: Characteristically seen with Pontine stroke. I/L 6th N. palsy- Diplopia on looking laterally I/L 7th N. palsy- facial paralysis but sensations not affected Coicospinal tract damage in pons will lead to C/L hemiplegia in arms and legs,A
What is the most likely diagnosis in this patient from Mauritania whose foot had developed these abnormalities over several years?,Actinomycetoma,Kaposi's sarcoma,Leishmaniasis,Malignant melanoma,"Answer A. ActinomycetomaMycetoma, commonly known as Madura foot, is a chronic, localized, slowly progressive, granulomatous infection of the deep dermis and subcutaneous tissue caused either by fungi (eumycetoma or implantation mycosis) or by aerobic actinomycetes (actinomycetoma). The presence of actinobacteria was confirmed on punch biopsy in this case. The patient responded to treatment with amikacin and trimethoprim-sulfamethoxazole.",A
Most common route of transmission of hepatitis C:,IV drug abuse,Sexual contact,Factor 8 concentrate,Feco-oral route,"Screening of donated blood for HCV antibody has decreased the risk of transfusion-associated HCV infection Persons who inject illegal drugs with non-sterile needles or who sno cocaine with shared straws are at highest risk for HCV infection. In developed countries, most new HCV infections are related to intravenous drug abuse (IVDA).",A
Two variables can be plotted together in -,Pie cha,Histogram,Frequency polygon,Scatter diagram,"- scatter maps show the relationship between two variables - if dots cluster round a straight line, it shows evidence of relationship of a linear nature. If there is no such cluster, it is probable that there is no relationship between the variables. Reference : Park's textbook of preventive and social medicine, 23rd edition, pg no:847",D
Disputed maternity can be solved by using the following tests except -,Blood grouping,HLA typing,Precipitin test,DNA fingerprinting,"Precipitin test is used to determine the species of the stain of blood under examination i.e. whether it belongs to human or either animal.
For setting disputed maternity/paternity, tests used are:-


Blood grouping - ABO, MN, RH system
HLA - Typing
DNA - Fingerprinting",C
Denominator of negative predictive value is,TP + FP,TP + FN,TN + FN,TN + FP,"Predictive value reflects the diagnostic power of the test. It&;s accuracy depends on sensitivity, specificity and disease prevalence. Predictive value of a negative test = d/(c+d)x100 Ref: 25th edition, Park&;s Textbook of Preventive and Social Medicine, Page no. 152",C
In anklyosing spondylitis joint involvement is least in?,Wrist and hand,Sacroiliac joint,Acromio-clavicular joint,Costochondral junction,"Ans. is 'a' i.e., Wrist and hand Ankylosing spondylitis (marie - strumpell disease) Ankylosing spondylitis is a chronic progressive inflammatory disease of the sacroiliac joints and the axial skeleton. Prototype of seronegative (absence of rheumatoid factor) spondyloahropathies. Inflammatory disorder of unknown cause. Usually begins in the second or third decade with a median age of 23, in 5% symptoms begin after 40. Male to female ratio is 2-3 : 1 Strong correlation with HLA-B27 90-95% of cases are positive for HLA - B27. Joints involved in ankylosing spondylitis Primarily affects axial skeleton. The disease usually begins in the sacro-iliac joints and usually extends upwards to involve the lumbar, thoracic, and often cervical spine In the worst cases the hips or shoulders are also affected. o Hip joint is the most commonly affected peripheral joint. o Rarely knee and ankle are also involved. Pathology Enthesitis i.e. inflammation of the inseion points of tendons, ligaments or joint capsule on bone is one of the hallmarks of this entity of disease. Primarily affects axial (spinal) skeleton and sacroiliitis is often the earliest manifestation of A.S.. Involvement of costoveebral joints frequently occur, leading to diminished chest expansion (normal 5 cm) Peripheral joints e.g. shoulders, and hips are also involved in 1/3rd patients. Extraaicular manifestations like acute anterior uveitis (in 5%); rarely aoic valve disease, carditis and pulmonary fibrosis also occur. Pathological changes proceed in three stages? Inflammation with granulation tissue formation and erosion of adjacent bone. Fibrosis of granulation tissue Ossification of the fibrous tissue, leading to ankylosis of the joint. Inflammatory bowel disease (CD, UC) may also be seen. Clinicalfeatures (symptoms) Low back pain of insidious onset Duration usually less than 3 months Significant morning stiffness and improvement with exercise Limited chest expansion Diffuse tenderness over the spine and sacroiliac joints Loss of lumbar lordosis, increased thoracic kyphosis Decreased spinal movements (especially extension) in all directions. Radiological features of an kvlasing spondylitis Radiographic evidence of sacroiliac joint is the most consistent finding in ankylosing spondylitis and is crucial for diagnosis. The findings are :- D Sclerosis of the aiculating surfaces of SI joints Widening of the sacroiliac joint space Bony ankylosis of the sacroiliac joints Calcification of the sacroiliac ligament and sacro-tuberous ligaments Evidence of enthesopathy - calcification at the attachment of the muscles, tendons and ligaments, paicularly around the pelvis and around the heel. X-ray of lumbar spine may show :- Li Squaring of veebrae : The normal anterior concavity of the veebral body is lost because of calcification of the anterior longitudinal ligament. Loss of the lumbar lordosis. Bridging 'osteophytes' (syndesmophytes) Bamboo spine appearance In the early disease process, plain x-rays may be read as normal. More accurate and early diagnosis can be done by using MR1 and/or CT scan. Dynamic MRI with fat saturation, either sho tau inversion recovery (STIR) sequnece or TI weighted images with contrast enhancement is highly sensitive and specific for identifying early intra-aicular inflammation, cailage changes, and underlying bone marrow edema in sacroilitis. Magnetic resonance imaging allows for visualization of acute sacroilitis, spondylitis, and spondylodiscitis, and can also detect acute inflammation of the entheses, bone and synovium. The ability to detect early inflammatiion and acurately visualize cailaginous and enthesal lesions makes magnetic resonance imaging a useful assessment tool in the spondyloahropathies.",A
Most common infection in patients with prosthetic valves is-,Pneumococcus,Pseudomonas,Staphylococcus,Enterococci,Most common infection in patients with prosthetic valves is infective endocarditis by staphylococcus Ref Davidson 23rd edition pg 450,C
All of the following are true regarding congenital tuberculosis except,Most common primary site for congenital tuberculosis is liver.,Beitzke criteria is the diagnostic criteria,Lungs are never affected in congenital tuberculosis,Is acquired either transplacentally or by aspiration of amniotic fluid,"Although liver is primary site of infection, Lung are eventually affected in congenital tuberculosis.",C
Most peripheral Laboratory under RNTCP is:-,Tuberculosis unit,Peripheral reference laboratory,Intermediate reference laboratory,Designated microscopy centre,"- Most peripheral Laboratory under RNTCP is Designated microscopy center (DMC's) Designated microscopy center (DMC's) - Plains - 1/100,000 popu. - Hilly / Tribals - 1/50,000 popu. It is maintained by trained lab technician 1 TB unit - 1/5,00,000 pop. Maintained by senior TB lab supervision",D
Which is most dangerous for transmitting plague -,Blocked flea,Paial blocked flea,Both,Unblocked flea,"plaque is primarily a zoonoses caused by Yersenia pestis. -The commonest and the most efficient vector of the plaque is rat flea, Xenopsylla cheopis. - a paially blocked flea is more dangerous than a completely blocked flea due to longer life span. Reference : Park's textbook of preventive and social medicine, 23rd edition, pg no:293 <\p>",B
In takayasu aeritis there is,Loss of pulses,Renal hypeension,Coronary aneurysm or its dilation,All of the above,"Takayasu aeritis affects the aoa, its major branches and occasionally the pulmonary aeries. The typical age at onset is 25-30 years, with an 8 : 1 female-to-male ratio. It has a worldwide distribution but is most common in Asia. Takayasu aeritis is characterised by granulomatous inflammation of the vessel wall, leading to occlusion or weakening of the vessel wall. It presents with claudication, fever, ahralgia and weight loss. Clinical examination may reveal loss of pulses, bruits, hypeension and aoic incompetence. Investigation will identify an acute phase response and normocytic, normochromic anaemia but the diagnosis is based on angiography, which reveals coarctation, occlusion and aneurysmal dilatation. Treatment is with high-dose glucocoicoids and immunosuppressants, as described for ANCA-associated vasculitis. With successful treatment, the 5-year survival is 83%. Ref - Davidsons 23e p 1041",D
Which of the following tumor is most commonly associated with superior vena cava syndrome:,Lymphoma,Small cell carcinoma,Non small cell carcinoma,Metastasis,Answer is B (Small cell carcinoma): Current Critical Care Diagnosis & Treatment 3ra /465 The incidence of superior vena caval syndrome is highest with small cell carcinoma. Superior vena caval syndrome (SVC syndrome) SVC syndrome results from an impedance in outflow from superior vena cava due to external compression The most common cause of SVC syndrome is external compression by a malignant tumoure The most common malignant tumor causing SVC syndrome is bronchogenic carcinomas The most common histological type of bronchogenic carcinoma causing SVC syndrome is small cell carcinomas Etiologies of Superior Vena Cava Obstruction: Malignancy 95% Lung Cancer 65% Lymphoma 15% Breast cancer 5% Germ-cell 2% Thymic cancer 2% Other cancer 4% Benign 5% Central venous device related Mediastinal fibrosis 1% 3%,B
Safe period is calculated by,Length of menstrual cycle,Duration Date of ovulation,Length of ovulation,Length of luteal phase,"The safe period is calculated by the length of menstrual cycle The shoest cycle minus 18 days gives the first day of feile period and longest cycle minus 10 days gives the last day of the feile period The couple should abstain from coitus during feile period Reference : Park&;s textbook of preventive and social medicine, 23rd edition, Page no: 507",A
WPW syndrome is caused by?,Bundle branch block,Right sided extra fibres,Left bundle branch block,Ectopic pacemaker in atrium,"ANSWER: (B) Right sided extra fibresREF: Harrison s 18th ed ch: 233WPW is caused by the presence of an abnormal accessory electrical conduction pathway between the atria and the ventricles. Electrical signals travelling down this abnormal pathway (known as the bundle of Kent) may stimulate the ventricles to contract prematurely, resulting in a unique type of supraventricular tachycardia referred to as an atrioventricular reciprocating tachycardia.The bundle of Kent is an abnormal extra or accessory conduction pathway between the atria and ventricles that is present in a small percentage (between 0.1% and 0.3%) of the general population. This pathway may communicate betrveen the left atrium and the left ventricle, in which case it is termed a 'type A pre-excitation', or between the right atrium and the right ventricle, in which case it is termed a 'type B pre-excitation'. Problems arise when this pathway creates an electrical circuit that bypasses the AV node. The AV node is capable of slowing the rate of conduction of electrical impulses to the ventricles, whereas the bundle of Kent lacks this capability. When an aberrant electrical connection is made via the bundle of Kent, tachydysrhythmias may therefore result.WPW is commonly diagnosed on the basis of the electrocardiogram in an asymptomatic individual. In this case it is manifested as a delta wave, which is a slurred upstroke in the QRS complex that is associated with a short PR interval. The short PR interval and slurring of the QRS complex is actually the impulse making it through to the ventricles prematurely (across the accessory pathway) wdthout the usual delay experienced in the AV node.",B
Colour of crystals in postive florence test is ?,Yellow,White,Purple,Dark brown,"Ans. is 'A' i.e., Dark brown Florence Test It is the chemical test for identification of semen in stains. The satin is extracted by 10% HCl and drop is placed on the glass slide and allowed to dry. A cover slip is placed over this and a drop of Florence solution (Potassium iodide, iodine and water) is allowed to run under the cover slip. If semen is present dark brown crystals of choline iodide appear immediately. They are rhombic or needle shaped crystals resembling haemin but are larger and arranged in clusters, rosettes, crosses etc. Choline originates from the seminal vesicles. Positive test is not a proof of seminal fluid, but only the presence of some vegetable or animal substance. A negative reaction is a proof that the stain is not seminal.",A
Highest mean and lowest mode indicates:,Positive skewing,Negative skewing,Normal,Symmetrical,Ans. a. Positive skewing (Ref: Simple Biostatistics by Indrayan and Indrayan Central Tendency in Various Districution/III)DistributionCentral TendencyNormal (Gaussian) DistributionMean = Median = ModeQRight (Positive) Skew DistributionMean > Median > ModeQLeft (Negative) Skew DistributionMean < Median < ModeQ In Distribution with Extreme Values (Outliers)* Most affected measure of central tendencyMean* Least affected measure of central tendencyMode* Most preferable measure of central tendencyMedian,A
Science dealing with health of travellers -,Emporiatrics,Ergonomics,Bionomics,None.,"Ans. is 'a' i.e., Emporiatricso Emporiatrics (Travel medicine) is the science dealing with health of travellers.o Ergonomics is the scientific discipline that seeks to understand and improve human interactions with products, equipment, environments and system. It simply means 'fitting the job to the worker",A
All of the following are required for visualization of gall bladder in an oral cholecystogram except:,Motor mechanism of gall bladder,Patency of cystic duct,Ability to absorb water,Functioning hepatocytes,"Answer is A (Motor mechanisms of Gall bladder) Functioning motor mechanism of the gall bladder is not a prerequisite Q,& even in its absence, the contrast can be concentrated in the Gall bladder & be visible radiographically. Oral Cholecvstogram (also called Graham Cole test)Q Ipanoid Acid tablets (contrast) is taken the right before the test. The contrast is absorbed, secreted into the bile by the liver (i.e. functioning hepatocytes required)Q passes through the cystic duct into the gal bladder (i.e. patent cystic duct is required). But is then concentrated in the Gall Bladder (ability to absorb water is required) Functioning motor mechanism of the gall bladder is not a prerequisite Q,& even in its absence, the contrast can be concentrated in the Gall bladder & be visible radiographically. Since a negative test can result from so many causes, it is NOT diagnostic of Gall stone Disease.",A
