Question,A,B,C,D,Explanation,Answer
Which of the drugs must be available in labour room while giving narcotics for pain?,Fentanyl,Naloxone,Pheniramine,Morphine,"In a labour room when opoid narcotics are being given to reverse the respiratory depression induced by them, Naloxone should be available. It is given to the mother 0.4 mg IV in labour. Ref: Datta Obs 9e pg 479.",B
CO2 diffuses more easily through the respiratory membrane than O2 because it is:,Less dense,More soluble in plasma,Less molecular weight,Less PCO2 in the alveoli,"Ans is 'b' i.e. More soluble in plasma Diffusion of gases through the tissues or respiratory membrane depends on the solubility of the gas in lipids; but since all the gases of respiratory importance are all highly soluble in lipids the diffusion through the tissues would depend on diffusion of gases in tissue water.The diffusion of gases through fluid depends on multiple factors of which the two which are characteristics of the gas itself areSolubility in fluid &Molecular weight.The diffusion coefficient of the gas is directly proportional to the solubility and inversely proportional to the square root of the molecular weight.Diffusion coefficient = Solubility/ Molecular weightDiffusion coefficient of:Oxygen--1.0 Carbon dioxide -- 20.3Carbon dioxide despite having higher molecular weight than Oxygen, has a very high diffusion coefficient because of its very high solubility in plasma (about 22 times).",B
The type of enzyme inhibition in which succinate dehydrogenase reaction is inhibited by malonate is an example of:,Noncompetitive,Uncompetitive,Competitive,Allosteric,"Inhibition of the enzyme succinate dehydrogenase by malonate illustrates competitive inhibition by a substrate analog. Succinate dehydrogenase catalyzes the removal of one hydrogen atom from each of the two-methylene carbons of succinate. Both succinate and its structural analog malonate can bind to the active site of succinate dehydrogenase. However, since malonate contains only one methylene carbon, it cannot undergo dehydrogenation. Ref: Kennelly P.J., Rodwell V.W. (2011). Chapter 8. Enzymes: Kinetics. In D.A. Bender, K.M. Botham, P.A. Weil, P.J. Kennelly, R.K. Murray, V.W. Rodwell (Eds), Harper's Illustrated Biochemistry, 29e.",C
Hepatitis A virus is best diagnosed by -,IgM antibodies in serum,Isolation from stool,Culture from blood,Isolation from bile,HAV best diagnosed by demonstration of IgM antibody in serum REF:<\p> ANATHANARAYANAN MICROBIOLOGY NINTH EDITION PAGE.542,A
All of the following statements regarding vas deference are true except -,The terminal part is dilated to form ampulla,It crosses ureter in the region of ischial spine,It passes lateral to inferior epigastric artery at deep inguinal ring,It is separated from the base of bladder by the peritoneum,The base of bladder and vas deferens are closely apposed as there is no peritoneum in between them.,D
"A 25 year old man is paicipating in a clinical study to determine the cardiovascular response to physical exercise. Basal measurements are Respiratory rate:15,Blood pressure: 120/80,Cardiac output: 5L,Hea rate:50/min.What is his stroke volume during resting conditions (in mL/min)?",50,75,100,125,"The cardiac output (CO) is equal to the volume of blood ejected from the hea during each systole (i.e., the stroke volume; SV) multiplied by the number of times the hea beats each minute (hea rate; HR). In other words, CO = SV x HR. Therefore, SV = CO/HR, and since CO = 5000 mL/min, and HR = 50/min, SV = 5000/50 = 100 mL. Ref: Mohrman D.E., Heller L.J. (2010). Chapter 1. Overview of the Cardiovascular System. In D.E. Mohrman, L.J. Heller (Eds), Cardiovascular Physiology, 7e.",C
Osmotic pressure can be calculated by using,Bernoulli's law,Van't hoff law,Ohm's law,Poiseulle's law,"Osmotic pressure is calculated by van hoofs rule. (REF: GANONG&;S REVIEW OF MEDICAL PHYSIOLOGY, PAGE NO - 7)",B
A nucleoside consists of:,Nitrogenous base,Purine or pyrimidine base + sugar,Purine or pyrimidine base + phosphorous,Purine + pyrimidine base + sugar + phosphorous,Ans. B. Purine or pyrimidine base + sugarposition of nucleotides = Sugar + Base + Phosphate Composition of nucleosides = Sugar + Base. No phosphate is present.,B
Which of the following is an example of precipitation reaction?,Widal Test,Coomb's Test,Counter Current immunoelectrophoresis,Weil-Felix Test,"Precipitation is a method for detecting an antigen-antibody reaction. When antigen and antibody combine in the proper propoions, a visible precipitate is formed. Optimum antigen-antibody ratios can be produced by allowing one to diffuse into the other, most commonly through an agar matrix (immunodiffusion). Counterimmunoelectrophoresis (CIE) is a type of precipitation reaction where immunodiffusion carried out in an electrophoretic field. Both the speed and the sensitivity of immunodiffusion are improved by CIE. Ref: Ray C.G., Ryan K.J. (2010). Chapter 4. Principles of Laboratory Diagnosis of Infectious Diseases. In C.G. Ray, K.J. Ryan (Eds), Sherris Medical Microbiology, 5e.",C
Cell mediated immunity is NOT responsible for: September 2004,Ahus reaction,Contact dermatitis,Graft rejection,Tumor rejection,Ans. A i.e. Ahus reaction Type III reactions (Ahus reaction etc.) are immune complex diseases/ Type III reactions,A
Which of the following pathways do not produce any ATP?,Uronic acid pathway,HMP pathway,Rapoport Luebering Shunt,All of the above,"RL Shunt, HMP shunt, Uronic acid pathway, oxidation of very long chain fatty acids, alpha oxidation of fatty acids do not produce any ATP.",D
The 23 valent pneumococci vaccine is recommended in all except -,CSF leak,Chronic cardiac disease,Chidren less than 2 years,Nephrotic syndrome,"Ans. is 'c' i.e., Children less then 2 years Pneumacoccal vaccine . There are two types of pneumococcal vaccines available : ? 1) Polyvalent (23 type) polysaccharide vaccine This polysaccharide vaccine represents the capsular antigen of 23 most prevalent serotypes. - It gives 80-90% protection which is long lasting (5 years). - It is not meant for general use, but only in persons at enhanced risk of pneumococcal infection such as those with absent or dysfunctional spleen; sickle cell disease, coeliac disease; Chronic liver or renal or lung or cardiac disease, DM, CSF leaks (meningeal disruption: dural tear) and; immunodeficiency including HIV infection. - It is not recommended in children under two years of age and those with lymphoreticular malignancies and immunosupprassive therapy. 2)Conjugate vaccine - A different pneumococcal vaccine containing pneumococcal polysaccharide coupled (conjugated) to a carrier protein (diphtheria toxoid) has been developed. - The vaccine contains the capsular polysaccharide of seven most common pneumococcal serotypes. - It can be given to children under the age of 2 years (but more than 6 weeks old).",C
Ligament suppoing the talus is,Spring ligament,Deltoid ligament,Calcaneocuboid ligament,Cervical ligament,"SPRING LIGAMENT:- Also known as plantar calcaneonavicular ligament.Attachments-Anteriorly:plantar surface of navicular bone.Posteriorly: anterior margin of sustentaculum tali. Head of talus directly rests on upper surface of the ligament. The plantar surface of the ligament is suppoed by tendon of tibialis posterior medially,and by tendons of flexor hallucis longus and flexor digitorum longus laterally.Most impoant ligament for maintaining the medial longitudinal arch of foot. <img src=' /> {Reference: BDC 6E}",A
"All of the following statements about Insulin like Growth factor - 1 are true, except:",Mainly secreted by the pancreas,Also known as Somatomedin C,Secretion is stimulated by Growth Hormone,Required for skeletal and Cailage growth,"Insulin-like growth factor-1 also known as Somatomedin C is produced primarily in liver and serves as an endocrine (as well as paracrine and autocrine) hormone mediating the action of GH in peripheral tissues. Secretion of IGF-1 is stimulated by Growth Hormone after bih, and it has pronounced growth-stimulating activity required for both skeletal and Cailage growth. Feature Insulin IGF-I IGF-II Other names Insulin Somatomedin C Multiplication stimulating activity (MSA) Number of amino acids 51 70 67 Source Pancreatic beta cells liver and other tissues Diverse tissues Level regulated by Glucose Growth Hormone after bih. Nutritional status Unknown Plasma levels 0.3-2 ng/ml 10-700 ng/ml; Peaks at pubey 300-800 ng/mL Plasma binding proteins No Yes Yes Major Physiological Role Control of metabolism Skeletal and Cailage growth Growth during fetal development Ref: Ganong Pgno : 329",A
Name the paired cartilages -,Thyroid,Cricoid,Corniculate,Hyoid,"i) Unpaired : - Thyroid, cricoid, epiglottis.
ii) Paired : - Arytenoid, Corniculate, cuneiform",C
The most important action of Secretin is to,neutralize the acid from the stomach,increase secretion of bicarbonates by pancreas,decrease gastric secretion,cause contraction of pyloric sphincter,"Main Action of Secretin:
Secretin increases the secretion of bicarbonate by the duct cells of the pancreas and biliary tract. It thus causes the secretion of a watery, alkaline pancreatic juice (with high content of bicarbonate). Its action on pancreatic duct cells is mediated via cAMP.
Secretin causes alkaline pancreatic juice to flood into the duodenum, neutralizing the acid from the stomach and thus inhibiting further secretion of the hormone - feedback control.
Other actions:

Inhibits gastric juice secretion.
Inhibits gastric motility.
Causes contraction of pyloric sphincter.
Augments the potency of action of cholecystokinin on pancreatic secretion.",B
"At 20-degree centigrade atmospheric temperature, body reacts by",Cutaneous vasoconstriction,Shivering,|BMR,All of the above,"The core temperature of a human is regulated and stabilized primarily by the hypothalamus, a region of the brain linking the endocrine system to the nervous system, and more specifically by the anterior hypothalamic nucleus and the adjacent preoptic area regions of the hypothalamus. As core temperature varies from the set point, endocrine production initiates control mechanisms to increase or decrease energy production/dissipation as needed to return the temperature toward the set point.Cutaneous vasoconstriction -Aerioles carrying blood to superficial capillaries under the surface of the skin can shrink (constrict), thereby rerouting blood away from the skin and towards the warmer core of the body. This prevents blood from losing heat to the surroundings and also prevents the core temperature dropping fuher. This process is called vasoconstriction. Shivering - Muscles can also receive messages from the thermoregulatory center of the brain (the hypothalamus) to cause shivering. This increases heat production as respiration is an exothermic reaction in muscle cells. Shivering is more effective than exercise at producing heat because the animal (includes humans) remains still.BMR - basal metabolic rate - rate of metabolism; the minimal amount of energy expended by our body during rest. Ref: Ganong&;s review of medical physiology;24th edition; page no-31",D
Mucocutaneous Leishmaniasis is caused by,L. Brasiliensis,L. tropica,L. donovani,L. Chagasi,L. Brasiliensis causes Espundia (Mucocutaneous Leishmaniasis).,A
Deep branch of ulnar nerve supplies all except ?,Adductor pollicis,Abductor digiti minimi,Flexor digiti minimi,Opponens pollicis,"Various branches of ulnar nerve are :? A) In arm : No branch. B) In forearm : There are following branches :? 1) Muscular : In proximal pa of forearm it supplies flexor carpi ulnaris and medial half of flexor digitorum profundus. 2) Cutaneous : There are two cutaneous branches in forearm:- i) Palmar cutaneous branch : Supplies skin over the hypothenar eminence. ii) Dorsal (posterior) cutaneous branch : Supplies skin over medial 1/3 of dorsum of hand and dorsal surface of medial 11/2 fingers. C) In hand : Ulnar nerve enters the palm by passing superficial to flexor retunuculum and divides into two terminal branches :? 1) Superficial terminal branch : It supplies palmaris brevis and skin of palmar surface of medial 11/2 fingers. 2) Deep terminal branch : It supplies adductor pollicis, all interossei, medial two (3'1 & 4th)lumbricals and all hypothenar muscles except palmaris brevis (i.e. abductor digiti minimi, flexor digiti minimi, opponens digiti minimi).",D
Hexosaminidase A deficiency causes:,Niemann-pick,Tay-Sachs disease,Hurler syndrome,Gaucher's disease,"Ans: b. Tay-Sachs disease [Refs Harper 30th/251; Lippincott 6th/212; Harrison 19th/432e,433eHexosaminidase A deficiency is an enzyme deficiency that causes brain and other nerve cells to die, which can lead to severe neurological and mental problems.Hexosaminidase A (HEX A) deficiency is caused by a deficiency in an enzyme called beta-hexosaminidase A. This enzyme helps break down a paicular fatty acid called GM2 ganglioside.Without adequate amounts of functional enzymes, GM2 ganglioside will build up in nerve cells and cause them to die.There are several forms of HEX A deficiency, including acute infantile (Tay-Sachs disease), juvenile, chronic, or adult-onset forms.",B
All the following inhibit complex IV and totally arrest respiration except,H2S,Carbon monoxide,Cyanide,Dimercaprol,"The classic poisons H2S, carbon monoxide, and cyanide inhibit Complex IV and can therefore totally arrest respiration. Reference: Harper; 30th edition; Page no: 132",D
A 7-month-old baby who is failing to thrive is brought into a neighborhood clinic. History reveals that the baby's mother died of AIDS 2 months ago. Blood is obtained and sent to the laboratory to check for HIV infection. The physician orders a test whose detection system is based on enzymatic activity. Which of the following tests is a heterogeneous immunoassay?,Coagglutination (COA),Counter immuno-electrophoresis (CIE),Enzyme-linked immunosorbent assay (ELISA),Latex agglutination (LA),"Of the many methods available for antigen and antibody detection, LA, ELISA, RIA, CIE, and COA are the most widely used.Enzyme immunoassays (EIAs) can be either homogeneous (EMIT) or heterogeneous (ELISA). EMIT has been used primarily for assays of low- molecular-weight drugs. Its primary use in microbiology has been for assays of aminoglycoside antibiotics. EIAs vary as to the solid support used. A variety of supports can be used, such as polystyrene microdilution plates, paddles, plastic beads, and tubes. The number of layers in the antibody-antigen sandwich varies; usually as additional layers are added, detection sensitivity is increased. The two most common enzymes are horseradish peroxidase (HRP) and alkaline phosphatase (AP). b-Galactosidase has also been employed. O-phenylenediamine is the most common substrate for HRP and b-nitrophenyl phosphate for AP. Because EIAs are usually read in the visible color range, the tests can be read qualitatively by eye or quantitatively by machine.",C
Causes of vitamin B12 deficiency is: September 2006,Lack of intrinsic factor,Diseases affecting terminal ileum,Fish tapeworm infestation,All of the above,"Ans. D: All of the aboveCauses of Vitamin B12 deficiency:Inadequate Consumption: Vitamin B12 deficiency develops in people who do not consume any animal products (vegetarians) unless they take supplements.Inadequate Absorption: The most common cause of vitamin B17 deficiency is inadequate absorption. The following conditions can cause absorption to be inadequate:- Overgrowth of bacteria in pa of the small intestineMalabsorption disorders- Inflammatory bowel disease- Fish tapeworm infection- Surgery that removes the pa of the small intestine where vitamin B12 is absorbedDrugs such as antacids and metformin- Lack of intrinsic factor- Intrinsic factor may be lacking because abnormal antibodies, produced by an overactive immune system, attack and destroy the parietal/ oxyntic cells that produce intrinsic factor--an autoimmune reaction- Decreased stomach acidityInadequate storage: Liver disorders may interfere with the storage of vitamin B12.",D
Tibial nerve injury/palsy causes:,Dorsiflexion of foot at ankle joint,Planter flexion of the foot at ankle joint,Loss of sensation of dorsum of foot,Paralysis of muscles of anterior compament of leg,"A i.e. Dorsiflexion of foot at ankle joint * Tibial nerve (the larger component of sciatic nerve) supplies all muscles of posterior compament of leg (gastrocnemius, soleus, plantaris, popliteus, tibialis posterior, FHL & FDL) planti flexing the ankle & foot. Therefore, tibial nerve injury results in loss of planter flexion along with calcaneo-valgus attitude of foot (ie dorsiflexion & eversion d/t unopposed anterior compament muscles).Deep peroneal (fibular) nerve supplies all anterior leg compament muscles (tibialis anterior, EHL, EDL, EDB, PT) dorsiflexing the ankle & foot. Therefore, deep peroneal nerve injury r/i loss of dorsiflexion of ankle along with foot drop (ie planter flexed foot d/t unopposed posterior compament muscles).Sole is supplied by medial & lateral plantar and sural branches of tibial nerveQ anteriorly (from medial to lateral) and calcaneal branches of tibial nerve0 posteriorly (i.e. over heel). So it is not affected in common peroneal nerve injury.Sural nerve descends lateral to calcaneal tendon near the sho saphenous vein, and supplies posterior and lateral skin of distal third of legQ. It then passes along lateral side of foot and little toeQ supplying the overlying skin.Anterolateral aspect of leg, and dorsum of foot including 2' - 4th zveb spacesQ are supplied by superficial peroneal nerve.Whereas deep peroneal (fibular) nerve supplies 1st web space (i.e. adjacent sides of great and second toes)QMedial aspect of leg and foot upto ball of big toeQ is supplied by saphenous br. of femoral nerve. Whereas sural nerve supplies lateral border of footQ and postero lateral 1/ 3rd of leg.",A
In vitro test for virulence of pneumococcus:,Intra peritoneal inoculation in mice,Rat tail inoculation,Mouse foot pad inoculation,Armadillo inoculation,"Ans: a (Intra peritoneal inoculation in mice) RefAnanthanarayan, ed, p. 220When pneumococci are scanty with negative cultures, isolation can be done by intra peritoneal inoculation in mice for virulent strains. Inoculated mice will die within 1 -3 days and pneumococci may be isolated from peritoneal fluid or heart blood. This will be negative with avirulent strains e.g., type 14.Other tests employed are:1) Gram stain - gram positive, lanceolate diplococcic2) Sputum culture in blood agar3) Blood culture - isolation from blood indicates bad prognosis4) CSF - Gram staining and cultureDemonstration of SSS by precipitation5) Capsular polysaccharide - Quellung reaction, counter immune electrophoresis",A
All of the following is true regarding HIV virus except: March 2010,Belongs to the subgroup lentivirus,Double stranded DNA virus,Characterised by the presence of reverse transcriptase enzyme,Acts on CD4 cells,"Ans. B: Double stranded DNA virus HIV belongs to the lentivirus subgroup of the family retroviridae. HIV is a spherical, enveloped virus. The genome is diploid, composed of two identical single-stranded, positive sense RNA copies. The human immunodeficiency virus (HIV) like many other viruses, stores its genetic information as RNA rather than as DNA (most other living things use DNA). In association with viral RNA is the reverse transcriptase enzyme which is a characteristic feature of retroviruses. When HIV enters a human cell, it releases its RNA, and an enzyme called reverse transcriptase makes a DNA copy of the HIV RNA. The resulting HIV DNA is integrated into the infected cell's DNA. This process is the reverse of that used by human cells, which make an RNA copy of DNA. Thus, HIV is called a retrovirus, referring to the reversed (backward) process. Other RNA viruses (such as polio, influenza, or measles), unlike retroviruses, do not make DNA copies after they invade cells. They simply make RNA copies of their original RNA. Some types of white blood cells called CD4+ lymphocytes HIV is highly mutable virus, unlike HTLV.",B
Epstein-Barr virus (EBV) VCA-IgG 1 :80 and EBV antibody to early antigen EA1 :320 suggest which one of the following diseases?,Chronic infectious mononucleosis,Primary syphilis,Scarlet fever,Primary atypical pneumonia,"Infectious mononucleosis (IM) may be suspected clinically but it is confirmed serologically. The heterophil antibody test, however, may be negative in up to 15% of adults and 35 to 40% of children. Because IM is caused by Epstein-Barr virus (EBV), a specific test for viral capsid antigen (VCA) of EBV is indicated when heterophil tests are negative. Acute IM is characterized by a VCA-IgM titer, and no VCA-IgG antibody or EBNA. Chronic EBV disease causes elevated VCA-IgG titers as well as high EA antibody titers.",A
In a solution the concentration of hydrogen ion is 1 x 10-7 moles/litre at 25degC. The pH of the solution will be:,Three,Seven,Nine,Twelve,"The term pH is defined as the negative log of the hydrogen ion concentration; that is, For the given solution at 25degC, Low pH values correspond to high concentrations of H+ and high pH values correspond to low concentrations of H+. Ref: Kennelly P.J., Rodwell V.W. (2011). Chapter 2. Water & pH. In D.A. Bender, K.M. Botham, P.A. Weil, P.J. Kennelly, R.K. Murray, V.W. Rodwell (Eds), Harper's Illustrated Biochemistry, 29e.",B
Astereognosis is seen in lesions of,Frontal lobe,Occipital lobe,Parietal lobe,Temporal lobe,"(C) Parietal lobe # Lesions in the representational hemisphere produce astereognos is- inability to identify objects by feeling them-and other agnosias.> Agnosia is the general term used for the inability to recognize objects by a particular sensory modality even though the sensory modality itself is intact.> Lesions producing these defects are generally in the parietal lobe.> Especially when they are in the representational hemisphere, lesions of the inferior parietal lobule, a region in the posterior part of the parietal lobe that is close to the occipital lobe, cause unilateral inattention and neglect.",C
Best rapid diagnostic test for etiology of acute pyogenic meningitis is?,Pro calcitonin,Limulus test,Latex agglutination,Counterimmunoelectrophoresis,"ANSWER: (C) Latex agglutinationREF: Clinical approach to infection in the compromised host by Robert H. Rubin, Lowell S. Young Page 175* Latex agglutination test is more rapid and sensitive than the counterimmunoelectrophoresis (CIE) in detection of etiological agent of pyogenic (bacterial) meningitis.One of these rapid diagnostic tests (preferably latex agglutination) should be performed on all CSF specimens from patients in whom bacterial meningitis is suspected if the CSF indices are consistent with the diagnosis and the CSF Gram stain is negativeLysate prepared from amoebocytes of horseshoe crab, Limulus polyphemus, is useful in suspected cases of gram negative meningitis in wThich positive test is due to presence of endotoxins.Recently procalcitonin has been evaluated s a marker to differentiate bacterial from viral meningitis",C
The following enzyme is required for the hexose monophosphate shunt pathway:,Glucose-6-phosphatase,Phosphorylase,Aldolase,Glucose-6-phosphate dehydrogenase,"Glucose-6-phosphate is oxidized by NADP+ dependent Glucose-6-phosphate dehydrogenase (GPD). 6-phospho glucono lactone is formed.
One molecule of NADPH is formed in the reaction. This is the rate-limiting step. Regulation is effected by this enzyme
 
Reference: Vasudevan 7th  ed, pg 130",D
"If this cell were permeable only to K+, what would be the effect of reducing the extracellular K concentration from 5 to 2.5 millimolar? Intracellular (mM) Extracellular (mM) 140 K+ 5 K+ 12 Na+ 145 Na+ 5 CI- 125 CI- 0.0001 Ca++ 5 Ca++",19 millivolts depolarization,19 millivolts hyperpolarization,38 millivolts depolarization,38 millivolts hyperpolarization,"If a membrane is permeable to only a single ion Vm is equal to the equilibrium potential for that ion. In this hypothetical cell, EK+ = 88 millivolts. If the extracellular K+ concentration is reduced by half, EK+ = 61 x log (2.5/140) = 107 millivolts, (Hyperpolarisation of 19 millivolts.)",B
Diffusion of gas in the respiratory membrane,Directly proportional to thickness of respiratory membrane,Inversely proportional to molecular weight of the gas,No lipid - water solubility,Inversely proportional to pressure gradient,"The rate of diffusion of gas across the respiratory membrane is
-        Directly proportional to 

The pressure gradient across the membrane
Lipid solubility of the gas 
The surface area of the membrane

-        Inversely proportional to

The thickness of the membrane​
The molecular weight of the gas",B
Which is not a feature of Netheon Syndrome?,Autosomal dominant,Ichthyosis,Very sho hair,Erythroderma,"This autosomal recessive disorder is characterized by ichthyosis (usually ichthyosis linearis circumflexa but occasionally the lamellar or congenital ichthyosiform erythroderma types), trichorrhexis invaginata and other hair shaft anomalies, and atopic diathesis. Mutations in the gene SPINK 5, which encodes a serine protease inhibitor, have been identified in patients with Netheon syndrome.",A
Most common cause of pyelonephritis in pregnant women?,E. Coil,Klebsiella,"N, gonorrhea",S. aureus,"ANSWER: (A) E.coliREF: Harrisons 17th Ed Pg 1820-1823, Harrison 18th edchapter 288See Microbiology 2013 Session 1 for details of UTIUncomplicated UTI refers to acute cystitis or pyelonephritis in nonpregnant outpatient women without anatomic abnormalities or instrumentation of the urinary tract; complicated UTI is a catch-all term that encompasses all other types of UTI. The spectrum of agents causing uncomplicated pyelonephritis is similar, with E. coli predominating.In complicated UTI (e.g., CAUTI), E. coli remains the predominant organism, but other aerobic gram-negative rods, such as Klebsiella species, Proteus species, Citrobacter species, Acinetobacter species, Morganella species, and Pseudomonas aeruginosa, also are frequently isolated. Gram-positive bacteria (e.g., enterococci and Staphylococcus aureus), and yeasts are also important pathogens in complicated UTI.",A
Troponin-C mimics which of the following?,Calmodulin,Calcineurin,Calretinin,Ceruloplasmin,Troponin C contains binding site for Ca2+ that initiates muscle contraction.(Ref: Textbook of physiology AK Jain 5th edition page no.164),A
Which of the following is a aseptate fungus,Aspergillus,Candida,Nocardia,Rhizopus,Aspergillus - septate hyphae. Candida - pseudohyphae. Nocardia is a bacterium. Reference: Textbook of Microbiology; Baveja; 4th edition,D
